,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,103,-505,0,0,0.6,0:00:44,{'message': 'outside_geofence'}
0,2,34,-501,0,0,0.5,0:00:59,{'message': 'outside_geofence'}
1,3,25,622,0,0,0.44,0:01:12,{'message': 'reached_goal'}
0,4,34,-530,0,0,0.37,0:01:28,{'message': 'outside_geofence'}
1,5,17,596,0,0,0.34,0:01:37,{'message': 'reached_goal'}
0,6,19,597,0,0,0.31,0:01:47,{'message': 'reached_goal'}
1,7,18,602,0,0,0.29,0:01:56,{'message': 'reached_goal'}
0,8,17,596,0,0,0.26,0:02:05,{'message': 'reached_goal'}
1,9,21,481,0,0,0.24,0:02:16,{'message': 'reached_goal'}
0,10,31,-542,0,0,0.2,0:02:32,{'message': 'outside_geofence'}
1,11,20,562,0,0,0.18,0:02:42,{'message': 'reached_goal'}
0,12,21,508,0,0,0.16,0:02:53,{'message': 'reached_goal'}
1,13,18,500,0,0,0.15,0:03:03,{'message': 'reached_goal'}
0,14,20,-509,0,0,0.14,0:03:13,{'message': 'outside_geofence'}
1,15,18,500,0,0,0.12,0:03:23,{'message': 'reached_goal'}
0,16,23,477,0,0,0.11,0:03:35,{'message': 'reached_goal'}
1,17,18,489,0,0,0.1,0:03:45,{'message': 'reached_goal'}
0,18,25,510,0,0,0.09,0:03:58,{'message': 'reached_goal'}
1,19,17,499,0,0,0.08,0:04:08,{'message': 'reached_goal'}
0,20,94,202,0,0,0.05,0:04:49,{'message': 'reached_goal'}
1,21,20,485,0,0,0.05,0:04:59,{'message': 'reached_goal'}
0,22,19,490,0,0,0.04,0:05:09,{'message': 'reached_goal'}
1,23,26,-558,0,0,0.04,0:05:21,{'message': 'outside_geofence'}
0,24,18,489,0,0,0.03,0:05:31,{'message': 'reached_goal'}
1,25,17,499,0,0,0.03,0:05:39,{'message': 'reached_goal'}
0,26,18,489,0,0,0.03,0:05:48,{'message': 'reached_goal'}
1,27,26,-547,0,0,0.02,0:06:01,{'message': 'outside_geofence'}
0,28,28,-556,0,0,0.02,0:06:13,{'message': 'outside_geofence'}
1,29,6,-534,0,0,0.02,0:06:18,{'message': 'outside_geofence'}
0,30,500,-8784,0,0,0.01,0:09:39,{'TimeLimit.truncated': True}
1,31,18,500,0,0,0.01,0:09:49,{'message': 'reached_goal'}
0,32,20,491,0,0,0.01,0:09:58,{'message': 'reached_goal'}
1,33,224,-1438,0,0,0.01,0:11:30,{'message': 'outside_geofence'}
0,34,172,-1215,0,0,0.01,0:12:42,{'message': 'outside_geofence'}
1,35,54,-684,0,0,0.01,0:13:08,{'message': 'outside_geofence'}
0,36,39,389,0,0,0.01,0:13:26,{'message': 'reached_goal'}
1,37,6,-545,0,0,0.01,0:13:30,{'message': 'outside_geofence'}
0,38,9,-531,0,0,0.01,0:13:36,{'message': 'outside_geofence'}
1,39,168,-120,0,0,0.01,0:14:47,{'message': 'reached_goal'}
0,40,17,521,0,0,0.01,0:14:57,{'message': 'reached_goal'}
1,41,432,709,0,0,0.01,0:17:57,{'message': 'reached_goal'}
0,42,500,195,0,0,0.01,0:21:24,{'TimeLimit.truncated': True}
1,43,249,690,0,0,0.01,0:23:09,{'message': 'reached_goal'}
0,44,56,632,0,0,0.01,0:23:33,{'message': 'reached_goal'}
1,45,17,585,0,0,0.01,0:23:43,{'message': 'reached_goal'}
0,46,17,585,0,0,0.01,0:23:52,{'message': 'reached_goal'}
1,47,68,547,0,0,0.01,0:24:22,{'message': 'reached_goal'}
0,48,500,-135,0,0,0.01,0:27:50,{'TimeLimit.truncated': True}
1,49,111,621,0,0,0.01,0:28:36,{'message': 'reached_goal'}
0,50,500,-5106,0,0,0.01,0:32:07,{'TimeLimit.truncated': True}
1,51,18,571,0,0,0.01,0:32:16,{'message': 'reached_goal'}
0,52,18,591,0,0,0.01,0:32:25,{'message': 'reached_goal'}
1,53,500,350,0,0,0.01,0:35:49,{'TimeLimit.truncated': True}
0,54,16,590,0,0,0.01,0:35:58,{'message': 'reached_goal'}
1,55,16,590,0,0,0.01,0:36:06,{'message': 'reached_goal'}
0,56,17,515,0,0,0.01,0:36:16,{'message': 'reached_goal'}
1,57,18,602,0,0,0.01,0:36:25,{'message': 'reached_goal'}
0,58,17,520,0,0,0.01,0:36:34,{'message': 'reached_goal'}
1,59,18,547,0,0,0.01,0:36:44,{'message': 'reached_goal'}
0,60,16,590,0,0,0.01,0:36:52,{'message': 'reached_goal'}
1,61,16,590,0,0,0.01,0:37:01,{'message': 'reached_goal'}
0,62,16,590,0,0,0.01,0:37:09,{'message': 'reached_goal'}
1,63,15,584,0,0,0.01,0:37:17,{'message': 'reached_goal'}
