,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,6,-1019,0,0,0.97,0:00:04,{'message': 'outside_geofence'}
0,2,12,-1016,0,0,0.91,0:00:11,{'message': 'outside_geofence'}
1,3,33,-1002,0,0,0.77,0:00:34,{'message': 'outside_geofence'}
0,4,14,-1015,0,0,0.72,0:00:42,{'message': 'outside_geofence'}
1,5,7,-1040,0,0,0.7,0:00:48,{'message': 'outside_geofence'}
0,6,6,-992,0,0,0.68,0:00:53,{'message': 'outside_geofence'}
1,7,11,-1050,0,0,0.64,0:01:00,{'message': 'outside_geofence'}
0,8,28,-1034,0,0,0.56,0:01:13,{'message': 'outside_geofence'}
1,9,6,-1014,0,0,0.54,0:01:18,{'message': 'outside_geofence'}
0,10,18,-1017,0,0,0.49,0:01:28,{'message': 'outside_geofence'}
1,11,4,-1015,0,0,0.48,0:01:32,{'message': 'outside_geofence'}
0,12,21,-1114,0,0,0.44,0:01:43,{'message': 'outside_geofence'}
1,13,13,-1098,0,0,0.41,0:01:51,{'message': 'outside_geofence'}
0,14,30,-1134,0,0,0.35,0:02:06,{'message': 'outside_geofence'}
1,15,17,-1067,0,0,0.32,0:02:15,{'message': 'outside_geofence'}
0,16,27,-1012,0,0,0.28,0:02:29,{'message': 'outside_geofence'}
1,17,77,-1210,0,0,0.19,0:03:01,{'message': 'outside_geofence'}
0,18,8,-1065,0,0,0.18,0:03:07,{'message': 'outside_geofence'}
1,19,29,-1141,0,0,0.16,0:03:20,{'message': 'outside_geofence'}
0,20,72,-1467,0,0,0.11,0:03:53,{'message': 'outside_geofence'}
1,21,17,-1104,0,0,0.1,0:04:02,{'message': 'outside_geofence'}
0,22,36,-1253,0,0,0.08,0:04:19,{'message': 'outside_geofence'}
1,23,33,-1242,0,0,0.07,0:04:35,{'message': 'outside_geofence'}
0,24,42,-1163,0,0,0.06,0:04:55,{'message': 'outside_geofence'}
1,25,32,-1205,0,0,0.05,0:05:11,{'message': 'outside_geofence'}
0,26,28,-1169,0,0,0.04,0:05:25,{'message': 'outside_geofence'}
