,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,114,391,0,0,0.56,0:00:49,{'message': 'reached_goal'}
0,2,30,431,0,0,0.49,0:01:04,{'message': 'reached_goal'}
1,3,29,432,0,0,0.42,0:01:18,{'message': 'reached_goal'}
0,4,22,433,0,0,0.38,0:01:29,{'message': 'reached_goal'}
1,5,25,426,0,0,0.33,0:01:41,{'message': 'reached_goal'}
0,6,17,438,0,0,0.3,0:01:49,{'message': 'reached_goal'}
1,7,19,436,0,0,0.28,0:01:59,{'message': 'reached_goal'}
0,8,29,432,0,0,0.24,0:02:13,{'message': 'reached_goal'}
1,9,20,435,0,0,0.22,0:02:23,{'message': 'reached_goal'}
0,10,15,440,0,0,0.2,0:02:32,{'message': 'reached_goal'}
1,11,22,433,0,0,0.18,0:02:42,{'message': 'reached_goal'}
0,12,18,437,0,0,0.16,0:02:51,{'message': 'reached_goal'}
1,13,16,439,0,0,0.15,0:02:59,{'message': 'reached_goal'}
0,14,18,437,0,0,0.14,0:03:09,{'message': 'reached_goal'}
1,15,15,440,0,0,0.13,0:03:17,{'message': 'reached_goal'}
0,16,17,438,0,0,0.12,0:03:26,{'message': 'reached_goal'}
1,17,5,-404,0,0,0.12,0:03:30,{'message': 'outside_geofence'}
0,18,7,-406,0,0,0.11,0:03:35,{'message': 'outside_geofence'}
1,19,5,-404,0,0,0.11,0:03:39,{'message': 'outside_geofence'}
0,20,15,440,0,0,0.1,0:03:47,{'message': 'reached_goal'}
1,21,17,438,0,0,0.09,0:03:56,{'message': 'reached_goal'}
0,22,16,439,0,0,0.09,0:04:05,{'message': 'reached_goal'}
1,23,15,440,0,0,0.08,0:04:13,{'message': 'reached_goal'}
0,24,5,-404,0,0,0.08,0:04:17,{'message': 'outside_geofence'}
1,25,5,-404,0,0,0.08,0:04:21,{'message': 'outside_geofence'}
0,26,5,-404,0,0,0.07,0:04:25,{'message': 'outside_geofence'}
1,27,220,-2212,0,0,0.02,0:06:00,{'TimeLimit.truncated': True}
0,28,15,440,0,0,0.02,0:06:08,{'message': 'reached_goal'}
1,29,15,440,0,0,0.02,0:06:16,{'message': 'reached_goal'}
0,30,15,440,0,0,0.02,0:06:23,{'message': 'reached_goal'}
1,31,15,440,0,0,0.02,0:06:31,{'message': 'reached_goal'}
0,32,15,440,0,0,0.02,0:06:40,{'message': 'reached_goal'}
1,33,15,440,0,0,0.02,0:06:48,{'message': 'reached_goal'}
0,34,15,440,0,0,0.01,0:06:56,{'message': 'reached_goal'}
1,35,15,440,0,0,0.01,0:07:05,{'message': 'reached_goal'}
0,36,15,440,0,0,0.01,0:07:13,{'message': 'reached_goal'}
1,37,15,440,0,0,0.01,0:07:20,{'message': 'reached_goal'}
0,38,15,440,0,0,0.01,0:07:28,{'message': 'reached_goal'}
1,39,15,440,0,0,0.01,0:07:36,{'message': 'reached_goal'}
0,40,15,440,0,0,0.01,0:07:44,{'message': 'reached_goal'}
1,41,15,440,0,0,0.01,0:07:52,{'message': 'reached_goal'}
0,42,15,440,0,0,0.01,0:08:00,{'message': 'reached_goal'}
1,43,15,440,0,0,0.01,0:08:08,{'message': 'reached_goal'}
0,44,15,440,0,0,0.01,0:08:15,{'message': 'reached_goal'}
1,45,15,440,0,0,0.01,0:08:24,{'message': 'reached_goal'}
0,46,15,440,0,0,0.01,0:08:32,{'message': 'reached_goal'}
1,47,15,440,0,0,0.01,0:08:40,{'message': 'reached_goal'}
0,48,15,440,0,0,0.01,0:08:48,{'message': 'reached_goal'}
1,49,15,440,0,0,0.01,0:08:56,{'message': 'reached_goal'}
0,50,15,440,0,0,0.01,0:09:04,{'message': 'reached_goal'}
1,51,15,440,0,0,0.01,0:09:12,{'message': 'reached_goal'}
0,52,15,440,0,0,0.01,0:09:21,{'message': 'reached_goal'}
1,53,15,440,0,0,0.01,0:09:29,{'message': 'reached_goal'}
0,54,15,440,0,0,0.01,0:09:37,{'message': 'reached_goal'}
1,55,15,440,0,0,0.01,0:09:46,{'message': 'reached_goal'}
0,56,15,440,0,0,0.01,0:09:54,{'message': 'reached_goal'}
1,57,17,438,0,0,0.01,0:10:04,{'message': 'reached_goal'}
0,58,15,440,0,0,0.01,0:10:11,{'message': 'reached_goal'}
1,59,15,440,0,0,0.01,0:10:20,{'message': 'reached_goal'}
0,60,15,440,0,0,0.01,0:10:29,{'message': 'reached_goal'}
1,61,15,440,0,0,0.01,0:10:37,{'message': 'reached_goal'}
0,62,15,440,0,0,0.01,0:10:45,{'message': 'reached_goal'}
1,63,15,440,0,0,0.01,0:10:54,{'message': 'reached_goal'}
0,64,15,440,0,0,0.01,0:11:02,{'message': 'reached_goal'}
1,65,15,440,0,0,0.01,0:11:10,{'message': 'reached_goal'}
0,66,15,440,0,0,0.01,0:11:18,{'message': 'reached_goal'}
1,67,16,439,0,0,0.01,0:11:27,{'message': 'reached_goal'}
0,68,15,440,0,0,0.01,0:11:34,{'message': 'reached_goal'}
1,69,15,440,0,0,0.01,0:11:43,{'message': 'reached_goal'}
0,70,15,440,0,0,0.01,0:11:52,{'message': 'reached_goal'}
1,71,15,440,0,0,0.01,0:12:00,{'message': 'reached_goal'}
0,72,15,440,0,0,0.01,0:12:08,{'message': 'reached_goal'}
1,73,17,438,0,0,0.01,0:12:16,{'message': 'reached_goal'}
0,74,15,440,0,0,0.01,0:12:25,{'message': 'reached_goal'}
1,75,15,440,0,0,0.01,0:12:33,{'message': 'reached_goal'}
0,76,15,440,0,0,0.01,0:12:40,{'message': 'reached_goal'}
1,77,17,438,0,0,0.01,0:12:48,{'message': 'reached_goal'}
0,78,15,440,0,0,0.01,0:12:57,{'message': 'reached_goal'}
1,79,15,440,0,0,0.01,0:13:05,{'message': 'reached_goal'}
0,80,15,440,0,0,0.01,0:13:14,{'message': 'reached_goal'}
1,81,15,440,0,0,0.01,0:13:22,{'message': 'reached_goal'}
0,82,15,440,0,0,0.01,0:13:31,{'message': 'reached_goal'}
1,83,17,438,0,0,0.01,0:13:40,{'message': 'reached_goal'}
0,84,15,440,0,0,0.01,0:13:48,{'message': 'reached_goal'}
1,85,17,438,0,0,0.01,0:13:57,{'message': 'reached_goal'}
0,86,15,440,0,0,0.01,0:14:05,{'message': 'reached_goal'}
1,87,16,439,0,0,0.01,0:14:13,{'message': 'reached_goal'}
0,88,15,440,0,0,0.01,0:14:21,{'message': 'reached_goal'}
1,89,15,440,0,0,0.01,0:14:29,{'message': 'reached_goal'}
0,90,15,440,0,0,0.01,0:14:38,{'message': 'reached_goal'}
1,91,15,440,0,0,0.01,0:14:46,{'message': 'reached_goal'}
0,92,15,440,0,0,0.01,0:14:55,{'message': 'reached_goal'}
1,93,15,440,0,0,0.01,0:15:03,{'message': 'reached_goal'}
0,94,15,440,0,0,0.01,0:15:11,{'message': 'reached_goal'}
1,95,220,128,0,0,0.01,0:16:44,{'TimeLimit.truncated': True}
0,96,15,440,0,0,0.01,0:16:51,{'message': 'reached_goal'}
1,97,15,440,0,0,0.01,0:16:59,{'message': 'reached_goal'}
0,98,17,438,0,0,0.01,0:17:08,{'message': 'reached_goal'}
1,99,15,440,0,0,0.01,0:17:17,{'message': 'reached_goal'}
0,100,15,440,0,0,0.01,0:17:25,{'message': 'reached_goal'}
1,101,15,440,0,0,0.01,0:17:33,{'message': 'reached_goal'}
0,102,15,440,0,0,0.01,0:17:41,{'message': 'reached_goal'}
1,103,220,104,0,0,0.01,0:19:12,{'TimeLimit.truncated': True}
0,104,220,122,0,0,0.01,0:20:40,{'TimeLimit.truncated': True}
1,105,15,440,0,0,0.01,0:20:49,{'message': 'reached_goal'}
0,106,15,440,0,0,0.01,0:20:57,{'message': 'reached_goal'}
1,107,15,440,0,0,0.01,0:21:05,{'message': 'reached_goal'}
0,108,15,440,0,0,0.01,0:21:14,{'message': 'reached_goal'}
1,109,15,440,0,0,0.01,0:21:21,{'message': 'reached_goal'}
0,110,15,440,0,0,0.01,0:21:30,{'message': 'reached_goal'}
1,111,15,440,0,0,0.01,0:21:37,{'message': 'reached_goal'}
0,112,15,440,0,0,0.01,0:21:45,{'message': 'reached_goal'}
1,113,15,440,0,0,0.01,0:21:53,{'message': 'reached_goal'}
0,114,15,440,0,0,0.01,0:22:01,{'message': 'reached_goal'}
1,115,15,440,0,0,0.01,0:22:09,{'message': 'reached_goal'}
0,116,15,440,0,0,0.01,0:22:17,{'message': 'reached_goal'}
1,117,15,440,0,0,0.01,0:22:24,{'message': 'reached_goal'}
0,118,15,440,0,0,0.01,0:22:32,{'message': 'reached_goal'}
1,119,15,440,0,0,0.01,0:22:41,{'message': 'reached_goal'}
0,120,17,438,0,0,0.01,0:22:50,{'message': 'reached_goal'}
1,121,17,438,0,0,0.01,0:22:58,{'message': 'reached_goal'}
0,122,15,440,0,0,0.01,0:23:06,{'message': 'reached_goal'}
1,123,15,440,0,0,0.01,0:23:13,{'message': 'reached_goal'}
0,124,15,440,0,0,0.01,0:23:22,{'message': 'reached_goal'}
1,125,16,439,0,0,0.01,0:23:30,{'message': 'reached_goal'}
