,episode,steps,reward,alpha,gamma,epsilon,time
0,1,22,-192,0.1,0.7,0.9,0:00:06
0,2,229,20,0.1,0.7,0.9,0:01:07
1,3,206,24,0.1,0.7,0.9,0:02:03
0,4,500,480,0.1,0.7,0.9,0:04:20
1,5,145,-88,0.1,0.7,0.9,0:05:00
0,6,47,-164,0.1,0.7,0.89,0:05:14
1,7,333,140,0.1,0.7,0.89,0:06:44
0,8,500,520,0.1,0.7,0.89,0:09:02
1,9,343,144,0.1,0.7,0.89,0:10:36
0,10,42,-168,0.1,0.7,0.89,0:10:47
1,11,190,-8,0.1,0.7,0.89,0:11:39
0,12,359,168,0.1,0.7,0.89,0:13:16
1,13,33,-184,0.1,0.7,0.89,0:13:25
0,14,236,36,0.1,0.7,0.89,0:14:30
1,15,30,-180,0.1,0.7,0.89,0:14:38
0,16,500,456,0.1,0.7,0.89,0:16:54
1,17,337,152,0.1,0.7,0.88,0:18:27
0,18,104,-88,0.1,0.7,0.88,0:18:56
1,19,250,76,0.1,0.7,0.88,0:20:05
0,20,169,-16,0.1,0.7,0.88,0:20:51
1,21,103,-88,0.1,0.7,0.88,0:21:20
0,22,128,-60,0.1,0.7,0.88,0:21:55
1,23,209,4,0.1,0.7,0.88,0:22:53
0,24,140,-48,0.1,0.7,0.88,0:23:31
1,25,123,-44,0.1,0.7,0.88,0:24:05
0,26,192,-36,0.1,0.7,0.88,0:24:58
1,27,428,212,0.1,0.7,0.88,0:26:54
0,28,161,-4,0.1,0.7,0.88,0:27:38
1,29,313,56,0.1,0.7,0.87,0:29:03
0,30,298,96,0.1,0.7,0.87,0:30:25
1,31,225,8,0.1,0.7,0.87,0:31:27
0,32,60,-128,0.1,0.7,0.87,0:31:43
1,33,114,-64,0.1,0.7,0.87,0:32:14
0,34,327,132,0.1,0.7,0.87,0:33:44
1,35,81,-108,0.1,0.7,0.87,0:34:06
0,36,370,180,0.1,0.7,0.87,0:35:49
1,37,268,84,0.1,0.7,0.87,0:37:02
