,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,32,-441,0.1,0.7,0.9,0:00:10,{'message': 'outside_geofence'}
0,2,165,406,0.1,0.7,0.9,0:01:01,{'message': 'reached_goal'}
1,3,88,393,0.1,0.7,0.9,0:01:29,{'message': 'reached_goal'}
0,4,22,439,0.1,0.7,0.9,0:01:36,{'message': 'reached_goal'}
1,5,17,438,0.1,0.7,0.9,0:01:41,{'message': 'reached_goal'}
0,6,25,400,0.1,0.7,0.89,0:01:50,{'message': 'reached_goal'}
1,7,20,435,0.1,0.7,0.89,0:01:56,{'message': 'reached_goal'}
0,8,21,424,0.1,0.7,0.89,0:02:03,{'message': 'reached_goal'}
1,9,16,439,0.1,0.7,0.89,0:02:08,{'message': 'reached_goal'}
0,10,16,439,0.1,0.7,0.89,0:02:13,{'message': 'reached_goal'}
1,11,18,427,0.1,0.7,0.89,0:02:19,{'message': 'reached_goal'}
0,12,19,442,0.1,0.7,0.89,0:02:25,{'message': 'reached_goal'}
1,13,20,425,0.1,0.7,0.89,0:02:32,{'message': 'reached_goal'}
0,14,18,437,0.1,0.7,0.89,0:02:37,{'message': 'reached_goal'}
1,15,18,437,0.1,0.7,0.89,0:02:43,{'message': 'reached_goal'}
0,16,18,437,0.1,0.7,0.89,0:02:50,{'message': 'reached_goal'}
1,17,18,427,0.1,0.7,0.88,0:02:55,{'message': 'reached_goal'}
0,18,17,438,0.1,0.7,0.88,0:03:01,{'message': 'reached_goal'}
1,19,18,437,0.1,0.7,0.88,0:03:07,{'message': 'reached_goal'}
0,20,21,424,0.1,0.7,0.88,0:03:13,{'message': 'reached_goal'}
1,21,18,437,0.1,0.7,0.88,0:03:19,{'message': 'reached_goal'}
0,22,18,437,0.1,0.7,0.88,0:03:25,{'message': 'reached_goal'}
1,23,19,436,0.1,0.7,0.88,0:03:31,{'message': 'reached_goal'}
0,24,19,426,0.1,0.7,0.88,0:03:37,{'message': 'reached_goal'}
1,25,19,436,0.1,0.7,0.88,0:03:44,{'message': 'reached_goal'}
0,26,20,425,0.1,0.7,0.88,0:03:50,{'message': 'reached_goal'}
1,27,17,438,0.1,0.7,0.88,0:03:56,{'message': 'reached_goal'}
0,28,21,414,0.1,0.7,0.88,0:04:02,{'message': 'reached_goal'}
1,29,21,414,0.1,0.7,0.87,0:04:09,{'message': 'reached_goal'}
0,30,17,438,0.1,0.7,0.87,0:04:15,{'message': 'reached_goal'}
1,31,18,437,0.1,0.7,0.87,0:04:21,{'message': 'reached_goal'}
0,32,19,426,0.1,0.7,0.87,0:04:26,{'message': 'reached_goal'}
1,33,18,437,0.1,0.7,0.87,0:04:32,{'message': 'reached_goal'}
0,34,16,439,0.1,0.7,0.87,0:04:37,{'message': 'reached_goal'}
1,35,19,436,0.1,0.7,0.87,0:04:43,{'message': 'reached_goal'}
0,36,18,437,0.1,0.7,0.87,0:04:50,{'message': 'reached_goal'}
1,37,19,436,0.1,0.7,0.87,0:04:56,{'message': 'reached_goal'}
0,38,19,436,0.1,0.7,0.87,0:05:02,{'message': 'reached_goal'}
1,39,17,438,0.1,0.7,0.87,0:05:08,{'message': 'reached_goal'}
0,40,19,426,0.1,0.7,0.86,0:05:14,{'message': 'reached_goal'}
1,41,17,438,0.1,0.7,0.86,0:05:20,{'message': 'reached_goal'}
0,42,19,436,0.1,0.7,0.86,0:05:27,{'message': 'reached_goal'}
1,43,18,437,0.1,0.7,0.86,0:05:33,{'message': 'reached_goal'}
0,44,21,424,0.1,0.7,0.86,0:05:40,{'message': 'reached_goal'}
1,45,23,392,0.1,0.7,0.86,0:05:47,{'message': 'reached_goal'}
0,46,16,439,0.1,0.7,0.86,0:05:52,{'message': 'reached_goal'}
1,47,18,437,0.1,0.7,0.86,0:05:58,{'message': 'reached_goal'}
0,48,19,426,0.1,0.7,0.86,0:06:04,{'message': 'reached_goal'}
1,49,19,436,0.1,0.7,0.86,0:06:10,{'message': 'reached_goal'}
0,50,19,426,0.1,0.7,0.86,0:06:16,{'message': 'reached_goal'}
1,51,20,425,0.1,0.7,0.86,0:06:23,{'message': 'reached_goal'}
0,52,18,437,0.1,0.7,0.85,0:06:28,{'message': 'reached_goal'}
1,53,18,437,0.1,0.7,0.85,0:06:34,{'message': 'reached_goal'}
0,54,22,413,0.1,0.7,0.85,0:06:41,{'message': 'reached_goal'}
1,55,17,438,0.1,0.7,0.85,0:06:47,{'message': 'reached_goal'}
0,56,17,438,0.1,0.7,0.85,0:06:52,{'message': 'reached_goal'}
1,57,18,427,0.1,0.7,0.85,0:06:58,{'message': 'reached_goal'}
0,58,20,425,0.1,0.7,0.85,0:07:04,{'message': 'reached_goal'}
