,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,35,-372,0.1,0.7,0.9,0:00:10,{'message': 'outside_geofence'}
0,2,70,-378,0.1,0.7,0.9,0:00:31,{'message': 'outside_geofence'}
1,3,75,-722,0.1,0.7,0.9,0:00:53,{'message': 'outside_geofence'}
0,4,85,-285,0.1,0.7,0.9,0:01:19,{'message': 'outside_geofence'}
1,5,48,-638,0.1,0.7,0.9,0:01:34,{'message': 'outside_geofence'}
0,6,32,-525,0.1,0.7,0.89,0:01:44,{'message': 'outside_geofence'}
1,7,43,-535,0.1,0.7,0.89,0:01:56,{'message': 'outside_geofence'}
0,8,95,-639,0.1,0.7,0.89,0:02:25,{'message': 'outside_geofence'}
1,9,61,-378,0.1,0.7,0.89,0:02:43,{'message': 'outside_geofence'}
0,10,20,-402,0.1,0.7,0.89,0:02:50,{'message': 'outside_geofence'}
1,11,51,-577,0.1,0.7,0.89,0:03:05,{'message': 'outside_geofence'}
0,12,24,-548,0.1,0.7,0.89,0:03:12,{'message': 'outside_geofence'}
1,13,45,-489,0.1,0.7,0.89,0:03:26,{'message': 'outside_geofence'}
0,14,39,-667,0.1,0.7,0.89,0:03:38,{'message': 'outside_geofence'}
1,15,29,-367,0.1,0.7,0.89,0:03:47,{'message': 'outside_geofence'}
0,16,76,-199,0.1,0.7,0.89,0:04:09,{'message': 'outside_geofence'}
1,17,14,-465,0.1,0.7,0.88,0:04:14,{'message': 'outside_geofence'}
0,18,68,-566,0.1,0.7,0.88,0:04:34,{'message': 'outside_geofence'}
1,19,15,-436,0.1,0.7,0.88,0:04:39,{'message': 'outside_geofence'}
0,20,164,-450,0.1,0.7,0.88,0:05:28,{'message': 'outside_geofence'}
1,21,63,-452,0.1,0.7,0.88,0:05:47,{'message': 'outside_geofence'}
0,22,22,-490,0.1,0.7,0.88,0:05:53,{'message': 'outside_geofence'}
1,23,180,-295,0.1,0.7,0.88,0:06:47,{'message': 'outside_geofence'}
0,24,168,-858,0.1,0.7,0.88,0:07:37,{'message': 'outside_geofence'}
1,25,54,-545,0.1,0.7,0.88,0:07:54,{'message': 'outside_geofence'}
0,26,32,-625,0.1,0.7,0.88,0:08:03,{'message': 'outside_geofence'}
1,27,50,-354,0.1,0.7,0.88,0:08:18,{'message': 'outside_geofence'}
0,28,91,-273,0.1,0.7,0.88,0:08:45,{'message': 'outside_geofence'}
1,29,49,-607,0.1,0.7,0.87,0:09:00,{'message': 'outside_geofence'}
0,30,48,-614,0.1,0.7,0.87,0:09:14,{'message': 'outside_geofence'}
1,31,36,-315,0.1,0.7,0.87,0:09:25,{'message': 'outside_geofence'}
0,32,27,-479,0.1,0.7,0.87,0:09:34,{'message': 'outside_geofence'}
1,33,60,-299,0.1,0.7,0.87,0:09:52,{'message': 'outside_geofence'}
0,34,10,-451,0.1,0.7,0.87,0:09:56,{'message': 'outside_geofence'}
1,35,84,-273,0.1,0.7,0.87,0:10:21,{'message': 'outside_geofence'}
0,36,73,-508,0.1,0.7,0.87,0:10:43,{'message': 'outside_geofence'}
1,37,23,-565,0.1,0.7,0.87,0:10:50,{'message': 'outside_geofence'}
0,38,97,-535,0.1,0.7,0.87,0:11:19,{'message': 'outside_geofence'}
1,39,37,-528,0.1,0.7,0.87,0:11:30,{'message': 'outside_geofence'}
0,40,82,-324,0.1,0.7,0.86,0:11:54,{'message': 'outside_geofence'}
1,41,102,-133,0.1,0.7,0.86,0:12:25,{'message': 'outside_geofence'}
0,42,50,-752,0.1,0.7,0.86,0:12:40,{'message': 'outside_geofence'}
1,43,24,-476,0.1,0.7,0.86,0:12:47,{'message': 'outside_geofence'}
0,44,66,-347,0.1,0.7,0.86,0:13:07,{'message': 'outside_geofence'}
1,45,34,-482,0.1,0.7,0.86,0:13:17,{'message': 'outside_geofence'}
0,46,73,-230,0.1,0.7,0.86,0:13:40,{'message': 'outside_geofence'}
1,47,193,-396,0.1,0.7,0.86,0:14:37,{'message': 'outside_geofence'}
0,48,81,-276,0.1,0.7,0.86,0:15:01,{'message': 'outside_geofence'}
1,49,164,-415,0.1,0.7,0.86,0:15:50,{'message': 'outside_geofence'}
0,50,52,-582,0.1,0.7,0.86,0:16:05,{'message': 'outside_geofence'}
1,51,172,-791,0.1,0.7,0.86,0:16:57,{'message': 'outside_geofence'}
0,52,88,-324,0.1,0.7,0.85,0:17:22,{'message': 'outside_geofence'}
1,53,27,-395,0.1,0.7,0.85,0:17:31,{'message': 'outside_geofence'}
0,54,78,-470,0.1,0.7,0.85,0:17:54,{'message': 'outside_geofence'}
1,55,65,-235,0.1,0.7,0.85,0:18:14,{'message': 'outside_geofence'}
0,56,159,-727,0.1,0.7,0.85,0:19:01,{'message': 'outside_geofence'}
1,57,80,-616,0.1,0.7,0.85,0:19:24,{'message': 'outside_geofence'}
0,58,35,-503,0.1,0.7,0.85,0:19:35,{'message': 'outside_geofence'}
