,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,61,-472,0.1,0.7,0.9,0:00:18,{'message': 'outside_geofence'}
0,2,99,-304,0.1,0.7,0.9,0:00:47,{'message': 'outside_geofence'}
1,3,58,-908,0.1,0.7,0.9,0:01:05,{'message': 'outside_geofence'}
0,4,123,-528,0.1,0.7,0.9,0:01:42,{'message': 'outside_geofence'}
1,5,101,-313,0.1,0.7,0.9,0:02:14,{'message': 'outside_geofence'}
0,6,37,-708,0.1,0.7,0.89,0:02:25,{'message': 'outside_geofence'}
1,7,27,-408,0.1,0.7,0.89,0:02:33,{'message': 'outside_geofence'}
0,8,9,-384,0.1,0.7,0.89,0:02:36,{'message': 'outside_geofence'}
1,9,52,-461,0.1,0.7,0.89,0:02:52,{'message': 'outside_geofence'}
0,10,29,-332,0.1,0.7,0.89,0:03:01,{'message': 'outside_geofence'}
1,11,197,-525,0.1,0.7,0.89,0:04:01,{'message': 'outside_geofence'}
0,12,66,-506,0.1,0.7,0.89,0:04:21,{'message': 'outside_geofence'}
1,13,126,-627,0.1,0.7,0.89,0:04:59,{'message': 'outside_geofence'}
0,14,108,-415,0.1,0.7,0.89,0:05:31,{'message': 'outside_geofence'}
1,15,28,-379,0.1,0.7,0.89,0:05:40,{'message': 'outside_geofence'}
0,16,80,-364,0.1,0.7,0.89,0:06:05,{'message': 'outside_geofence'}
1,17,82,493,0.1,0.7,0.88,0:06:30,{'message': 'reached_goal'}
0,18,26,-326,0.1,0.7,0.88,0:06:38,{'message': 'outside_geofence'}
1,19,88,-458,0.1,0.7,0.88,0:07:05,{'message': 'outside_geofence'}
0,20,13,-422,0.1,0.7,0.88,0:07:09,{'message': 'outside_geofence'}
1,21,113,-522,0.1,0.7,0.88,0:07:42,{'message': 'outside_geofence'}
0,22,25,-387,0.1,0.7,0.88,0:07:50,{'message': 'outside_geofence'}
1,23,34,-356,0.1,0.7,0.88,0:08:00,{'message': 'outside_geofence'}
0,24,120,-761,0.1,0.7,0.88,0:08:36,{'message': 'outside_geofence'}
1,25,26,-462,0.1,0.7,0.88,0:08:44,{'message': 'outside_geofence'}
0,26,35,-432,0.1,0.7,0.88,0:08:55,{'message': 'outside_geofence'}
1,27,39,-437,0.1,0.7,0.88,0:09:06,{'message': 'outside_geofence'}
0,28,15,-366,0.1,0.7,0.88,0:09:11,{'message': 'outside_geofence'}
1,29,57,-804,0.1,0.7,0.87,0:09:28,{'message': 'outside_geofence'}
0,30,7,-388,0.1,0.7,0.87,0:09:30,{'message': 'outside_geofence'}
1,31,95,-635,0.1,0.7,0.87,0:09:59,{'message': 'outside_geofence'}
0,32,30,-356,0.1,0.7,0.87,0:10:08,{'message': 'outside_geofence'}
1,33,9,-436,0.1,0.7,0.87,0:10:11,{'message': 'outside_geofence'}
0,34,42,-593,0.1,0.7,0.87,0:10:24,{'message': 'outside_geofence'}
1,35,19,-410,0.1,0.7,0.87,0:10:30,{'message': 'outside_geofence'}
0,36,14,-439,0.1,0.7,0.87,0:10:34,{'message': 'outside_geofence'}
1,37,24,-356,0.1,0.7,0.87,0:10:42,{'message': 'outside_geofence'}
0,38,72,-851,0.1,0.7,0.87,0:11:04,{'message': 'outside_geofence'}
1,39,62,-873,0.1,0.7,0.87,0:11:23,{'message': 'outside_geofence'}
0,40,49,-614,0.1,0.7,0.86,0:11:38,{'message': 'outside_geofence'}
1,41,24,-599,0.1,0.7,0.86,0:11:45,{'message': 'outside_geofence'}
0,42,18,-517,0.1,0.7,0.86,0:11:50,{'message': 'outside_geofence'}
1,43,12,-372,0.1,0.7,0.86,0:11:54,{'message': 'outside_geofence'}
0,44,17,-414,0.1,0.7,0.86,0:11:59,{'message': 'outside_geofence'}
1,45,118,-911,0.1,0.7,0.86,0:12:34,{'message': 'outside_geofence'}
0,46,41,-316,0.1,0.7,0.86,0:12:47,{'message': 'outside_geofence'}
1,47,15,-451,0.1,0.7,0.86,0:12:51,{'message': 'outside_geofence'}
0,48,64,-533,0.1,0.7,0.86,0:13:10,{'message': 'outside_geofence'}
1,49,65,-790,0.1,0.7,0.86,0:13:30,{'message': 'outside_geofence'}
0,50,42,-750,0.1,0.7,0.86,0:13:43,{'message': 'outside_geofence'}
1,51,76,-607,0.1,0.7,0.86,0:14:06,{'message': 'outside_geofence'}
0,52,26,-560,0.1,0.7,0.85,0:14:14,{'message': 'outside_geofence'}
1,53,18,-360,0.1,0.7,0.85,0:14:20,{'message': 'outside_geofence'}
0,54,137,-970,0.1,0.7,0.85,0:15:00,{'message': 'outside_geofence'}
1,55,28,-582,0.1,0.7,0.85,0:15:09,{'message': 'outside_geofence'}
0,56,36,-735,0.1,0.7,0.85,0:15:20,{'message': 'outside_geofence'}
1,57,9,-384,0.1,0.7,0.85,0:15:23,{'message': 'outside_geofence'}
0,58,13,-487,0.1,0.7,0.85,0:15:28,{'message': 'outside_geofence'}
1,59,66,-408,0.1,0.7,0.85,0:15:48,{'message': 'outside_geofence'}
0,60,56,-681,0.1,0.7,0.85,0:16:04,{'message': 'outside_geofence'}
1,61,23,-383,0.1,0.7,0.85,0:16:12,{'message': 'outside_geofence'}
0,62,62,-524,0.1,0.7,0.85,0:16:31,{'message': 'outside_geofence'}
1,63,29,-353,0.1,0.7,0.85,0:16:39,{'message': 'outside_geofence'}
0,64,226,-1261,0.1,0.7,0.84,0:17:46,{'message': 'outside_geofence'}
1,65,39,-300,0.1,0.7,0.84,0:17:58,{'message': 'outside_geofence'}
0,66,38,-658,0.1,0.7,0.84,0:18:09,{'message': 'outside_geofence'}
