,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,17,-404,0.1,0.7,0.9,0:00:17,{'message': 'outside_geofence'}
0,2,15,-432,0.1,0.7,0.9,0:00:21,{'message': 'outside_geofence'}
0,3,22,-428,0.1,0.7,0.9,0:00:28,{'message': 'outside_geofence'}
1,4,22,-485,0.1,0.7,0.9,0:00:35,{'message': 'outside_geofence'}
0,5,70,-538,0.1,0.7,0.9,0:00:56,{'message': 'outside_geofence'}
1,6,12,-435,0.1,0.7,0.9,0:01:00,{'message': 'outside_geofence'}
0,7,38,-531,0.1,0.7,0.89,0:01:11,{'message': 'outside_geofence'}
1,8,27,-431,0.1,0.7,0.89,0:01:20,{'message': 'outside_geofence'}
0,9,72,-612,0.1,0.7,0.89,0:01:42,{'message': 'outside_geofence'}
1,10,21,-488,0.1,0.7,0.89,0:01:49,{'message': 'outside_geofence'}
0,11,15,-439,0.1,0.7,0.89,0:01:54,{'message': 'outside_geofence'}
1,12,36,-548,0.1,0.7,0.89,0:02:05,{'message': 'outside_geofence'}
0,13,23,-505,0.1,0.7,0.89,0:02:12,{'message': 'outside_geofence'}
1,14,30,-417,0.1,0.7,0.89,0:02:21,{'message': 'outside_geofence'}
0,15,43,-482,0.1,0.7,0.89,0:02:34,{'message': 'outside_geofence'}
1,16,36,-538,0.1,0.7,0.89,0:02:44,{'message': 'outside_geofence'}
0,17,52,-577,0.1,0.7,0.89,0:03:00,{'message': 'outside_geofence'}
1,18,32,-490,0.1,0.7,0.88,0:03:10,{'message': 'outside_geofence'}
0,19,41,-510,0.1,0.7,0.88,0:03:22,{'message': 'outside_geofence'}
1,20,29,-469,0.1,0.7,0.88,0:03:31,{'message': 'outside_geofence'}
0,21,35,-472,0.1,0.7,0.88,0:03:41,{'message': 'outside_geofence'}
1,22,38,-401,0.1,0.7,0.88,0:03:53,{'message': 'outside_geofence'}
0,23,121,-545,0.1,0.7,0.88,0:04:29,{'message': 'outside_geofence'}
1,24,8,-407,0.1,0.7,0.88,0:04:32,{'message': 'outside_geofence'}
0,25,59,-538,0.1,0.7,0.88,0:04:50,{'message': 'outside_geofence'}
1,26,65,-526,0.1,0.7,0.88,0:05:09,{'message': 'outside_geofence'}
0,27,113,-625,0.1,0.7,0.88,0:05:45,{'message': 'outside_geofence'}
1,28,102,-458,0.1,0.7,0.88,0:06:16,{'message': 'outside_geofence'}
0,29,103,-653,0.1,0.7,0.88,0:06:46,{'message': 'outside_geofence'}
1,30,22,-409,0.1,0.7,0.87,0:06:53,{'message': 'outside_geofence'}
0,31,21,-438,0.1,0.7,0.87,0:06:59,{'message': 'outside_geofence'}
1,32,20,-459,0.1,0.7,0.87,0:07:06,{'message': 'outside_geofence'}
0,33,15,-452,0.1,0.7,0.87,0:07:10,{'message': 'outside_geofence'}
1,34,110,-543,0.1,0.7,0.87,0:07:43,{'message': 'outside_geofence'}
0,35,19,-465,0.1,0.7,0.87,0:07:49,{'message': 'outside_geofence'}
1,36,72,-537,0.1,0.7,0.87,0:08:11,{'message': 'outside_geofence'}
0,37,12,-431,0.1,0.7,0.87,0:08:15,{'message': 'outside_geofence'}
1,38,62,-525,0.1,0.7,0.87,0:08:34,{'message': 'outside_geofence'}
0,39,40,-489,0.1,0.7,0.87,0:08:46,{'message': 'outside_geofence'}
1,40,82,-542,0.1,0.7,0.87,0:09:11,{'message': 'outside_geofence'}
0,41,65,-597,0.1,0.7,0.86,0:09:30,{'message': 'outside_geofence'}
1,42,61,-525,0.1,0.7,0.86,0:09:48,{'message': 'outside_geofence'}
0,43,76,-617,0.1,0.7,0.86,0:10:12,{'message': 'outside_geofence'}
1,44,21,-464,0.1,0.7,0.86,0:10:18,{'message': 'outside_geofence'}
0,45,12,-441,0.1,0.7,0.86,0:10:22,{'message': 'outside_geofence'}
1,46,13,-462,0.1,0.7,0.86,0:10:26,{'message': 'outside_geofence'}
0,47,34,-484,0.1,0.7,0.86,0:10:36,{'message': 'outside_geofence'}
1,48,43,-469,0.1,0.7,0.86,0:10:49,{'message': 'outside_geofence'}
0,49,15,-408,0.1,0.7,0.86,0:10:54,{'message': 'outside_geofence'}
1,50,61,-551,0.1,0.7,0.86,0:11:13,{'message': 'outside_geofence'}
0,51,79,-478,0.1,0.7,0.86,0:11:36,{'message': 'outside_geofence'}
1,52,46,-537,0.1,0.7,0.86,0:11:50,{'message': 'outside_geofence'}
0,53,105,-622,0.1,0.7,0.85,0:12:21,{'message': 'outside_geofence'}
1,54,25,-507,0.1,0.7,0.85,0:12:29,{'message': 'outside_geofence'}
0,55,53,-446,0.1,0.7,0.85,0:12:45,{'message': 'outside_geofence'}
1,56,49,-406,0.1,0.7,0.85,0:13:00,{'message': 'outside_geofence'}
0,57,55,-492,0.1,0.7,0.85,0:13:16,{'message': 'outside_geofence'}
1,58,43,-406,0.1,0.7,0.85,0:13:29,{'message': 'outside_geofence'}
0,59,100,-590,0.1,0.7,0.85,0:13:59,{'message': 'outside_geofence'}
1,60,92,-614,0.1,0.7,0.85,0:14:26,{'message': 'outside_geofence'}
0,61,72,-596,0.1,0.7,0.85,0:14:48,{'message': 'outside_geofence'}
1,62,37,-418,0.1,0.7,0.85,0:14:59,{'message': 'outside_geofence'}
0,63,132,-635,0.1,0.7,0.85,0:15:39,{'message': 'outside_geofence'}
1,64,16,-429,0.1,0.7,0.85,0:15:44,{'message': 'outside_geofence'}
0,65,187,-670,0.1,0.7,0.84,0:16:39,{'message': 'outside_geofence'}
1,66,160,-577,0.1,0.7,0.84,0:17:27,{'message': 'outside_geofence'}
0,67,49,-474,0.1,0.7,0.84,0:17:42,{'message': 'outside_geofence'}
