,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,59,-298,0.1,0.7,0.9,0:00:18,{'message': 'outside_geofence'}
0,2,8,-420,0.1,0.7,0.9,0:00:21,{'message': 'outside_geofence'}
1,3,20,-342,0.1,0.7,0.9,0:00:27,{'message': 'outside_geofence'}
0,4,17,-378,0.1,0.7,0.9,0:00:33,{'message': 'outside_geofence'}
1,5,18,-390,0.1,0.7,0.9,0:00:38,{'message': 'outside_geofence'}
0,6,13,-361,0.1,0.7,0.89,0:00:43,{'message': 'outside_geofence'}
1,7,165,-528,0.1,0.7,0.89,0:01:33,{'message': 'outside_geofence'}
0,8,30,-403,0.1,0.7,0.89,0:01:42,{'message': 'outside_geofence'}
1,9,13,-359,0.1,0.7,0.89,0:01:46,{'message': 'outside_geofence'}
0,10,77,-275,0.1,0.7,0.89,0:02:09,{'message': 'outside_geofence'}
1,11,49,-582,0.1,0.7,0.89,0:02:24,{'message': 'outside_geofence'}
0,12,16,-349,0.1,0.7,0.89,0:02:30,{'message': 'outside_geofence'}
1,13,46,-283,0.1,0.7,0.89,0:02:44,{'message': 'outside_geofence'}
0,14,63,-195,0.1,0.7,0.89,0:03:03,{'message': 'outside_geofence'}
1,15,30,-513,0.1,0.7,0.89,0:03:12,{'message': 'outside_geofence'}
0,16,164,-290,0.1,0.7,0.89,0:04:03,{'message': 'outside_geofence'}
1,17,86,583,0.1,0.7,0.88,0:04:29,{'message': 'reached_goal'}
0,18,73,-448,0.1,0.7,0.88,0:04:52,{'message': 'outside_geofence'}
1,19,19,-482,0.1,0.7,0.88,0:04:58,{'message': 'outside_geofence'}
0,20,15,-387,0.1,0.7,0.88,0:05:02,{'message': 'outside_geofence'}
1,21,108,-410,0.1,0.7,0.88,0:05:36,{'message': 'outside_geofence'}
0,22,7,-394,0.1,0.7,0.88,0:05:38,{'message': 'outside_geofence'}
1,23,24,-435,0.1,0.7,0.88,0:05:46,{'message': 'outside_geofence'}
0,24,23,-307,0.1,0.7,0.88,0:05:53,{'message': 'outside_geofence'}
1,25,106,-178,0.1,0.7,0.88,0:06:25,{'message': 'outside_geofence'}
0,26,71,-473,0.1,0.7,0.88,0:06:46,{'message': 'outside_geofence'}
1,27,48,-412,0.1,0.7,0.88,0:07:01,{'message': 'outside_geofence'}
0,28,10,-378,0.1,0.7,0.88,0:07:04,{'message': 'outside_geofence'}
1,29,21,-502,0.1,0.7,0.87,0:07:11,{'message': 'outside_geofence'}
0,30,50,-599,0.1,0.7,0.87,0:07:26,{'message': 'outside_geofence'}
1,31,44,-557,0.1,0.7,0.87,0:07:39,{'message': 'outside_geofence'}
0,32,59,-250,0.1,0.7,0.87,0:07:57,{'message': 'outside_geofence'}
1,33,24,-396,0.1,0.7,0.87,0:08:05,{'message': 'outside_geofence'}
0,34,13,-356,0.1,0.7,0.87,0:08:09,{'message': 'outside_geofence'}
1,35,19,-443,0.1,0.7,0.87,0:08:15,{'message': 'outside_geofence'}
0,36,33,-273,0.1,0.7,0.87,0:08:26,{'message': 'outside_geofence'}
1,37,15,-399,0.1,0.7,0.87,0:08:30,{'message': 'outside_geofence'}
0,38,50,-492,0.1,0.7,0.87,0:08:46,{'message': 'outside_geofence'}
1,39,24,-434,0.1,0.7,0.87,0:08:53,{'message': 'outside_geofence'}
0,40,80,-218,0.1,0.7,0.86,0:09:19,{'message': 'outside_geofence'}
1,41,34,-312,0.1,0.7,0.86,0:09:29,{'message': 'outside_geofence'}
0,42,57,-523,0.1,0.7,0.86,0:09:47,{'message': 'outside_geofence'}
1,43,129,-381,0.1,0.7,0.86,0:10:25,{'message': 'outside_geofence'}
0,44,10,-373,0.1,0.7,0.86,0:10:28,{'message': 'outside_geofence'}
1,45,80,-105,0.1,0.7,0.86,0:10:52,{'message': 'outside_geofence'}
0,46,20,-306,0.1,0.7,0.86,0:10:58,{'message': 'outside_geofence'}
1,47,77,-740,0.1,0.7,0.86,0:11:21,{'message': 'outside_geofence'}
0,48,35,-537,0.1,0.7,0.86,0:11:32,{'message': 'outside_geofence'}
1,49,53,-256,0.1,0.7,0.86,0:11:48,{'message': 'outside_geofence'}
0,50,36,-574,0.1,0.7,0.86,0:11:59,{'message': 'outside_geofence'}
1,51,43,-413,0.1,0.7,0.86,0:12:12,{'message': 'outside_geofence'}
0,52,26,-387,0.1,0.7,0.85,0:12:20,{'message': 'outside_geofence'}
1,53,23,-469,0.1,0.7,0.85,0:12:27,{'message': 'outside_geofence'}
0,54,32,-266,0.1,0.7,0.85,0:12:36,{'message': 'outside_geofence'}
1,55,41,-423,0.1,0.7,0.85,0:12:49,{'message': 'outside_geofence'}
0,56,23,-327,0.1,0.7,0.85,0:12:56,{'message': 'outside_geofence'}
1,57,92,-354,0.1,0.7,0.85,0:13:23,{'message': 'outside_geofence'}
0,58,10,-387,0.1,0.7,0.85,0:13:27,{'message': 'outside_geofence'}
1,59,65,-471,0.1,0.7,0.85,0:13:46,{'message': 'outside_geofence'}
0,60,34,-538,0.1,0.7,0.85,0:13:56,{'message': 'outside_geofence'}
1,61,28,-510,0.1,0.7,0.85,0:14:05,{'message': 'outside_geofence'}
0,62,13,-350,0.1,0.7,0.85,0:14:09,{'message': 'outside_geofence'}
1,63,38,-655,0.1,0.7,0.85,0:14:21,{'message': 'outside_geofence'}
0,64,14,-341,0.1,0.7,0.84,0:14:26,{'message': 'outside_geofence'}
1,65,15,-440,0.1,0.7,0.84,0:14:31,{'message': 'outside_geofence'}
0,66,128,-295,0.1,0.7,0.84,0:15:09,{'message': 'outside_geofence'}
1,67,128,-535,0.1,0.7,0.84,0:15:47,{'message': 'outside_geofence'}
0,68,19,-404,0.1,0.7,0.84,0:15:53,{'message': 'outside_geofence'}
1,69,35,-240,0.1,0.7,0.84,0:16:03,{'message': 'outside_geofence'}
0,70,14,-351,0.1,0.7,0.84,0:16:07,{'message': 'outside_geofence'}
1,71,37,-470,0.1,0.7,0.84,0:16:19,{'message': 'outside_geofence'}
0,72,81,-32,0.1,0.7,0.84,0:16:43,{'message': 'outside_geofence'}
1,73,14,-424,0.1,0.7,0.84,0:16:47,{'message': 'outside_geofence'}
0,74,12,-361,0.1,0.7,0.84,0:16:51,{'message': 'outside_geofence'}
1,75,99,-570,0.1,0.7,0.83,0:17:22,{'message': 'outside_geofence'}
0,76,41,-330,0.1,0.7,0.83,0:17:34,{'message': 'outside_geofence'}
1,77,77,-611,0.1,0.7,0.83,0:17:57,{'message': 'outside_geofence'}
0,78,62,-90,0.1,0.7,0.83,0:18:16,{'message': 'outside_geofence'}
1,79,47,-629,0.1,0.7,0.83,0:18:30,{'message': 'outside_geofence'}
0,80,11,-456,0.1,0.7,0.83,0:18:34,{'message': 'outside_geofence'}
1,81,55,-166,0.1,0.7,0.83,0:18:51,{'message': 'outside_geofence'}
0,82,50,-427,0.1,0.7,0.83,0:19:06,{'message': 'outside_geofence'}
1,83,46,-191,0.1,0.7,0.83,0:19:20,{'message': 'outside_geofence'}
0,84,11,-468,0.1,0.7,0.83,0:19:23,{'message': 'outside_geofence'}
1,85,22,-337,0.1,0.7,0.83,0:19:30,{'message': 'outside_geofence'}
0,86,13,-354,0.1,0.7,0.83,0:19:34,{'message': 'outside_geofence'}
1,87,7,-393,0.1,0.7,0.82,0:19:37,{'message': 'outside_geofence'}
0,88,9,-409,0.1,0.7,0.82,0:19:39,{'message': 'outside_geofence'}
1,89,7,-380,0.1,0.7,0.82,0:19:42,{'message': 'outside_geofence'}
0,90,30,-564,0.1,0.7,0.82,0:19:51,{'message': 'outside_geofence'}
1,91,15,-458,0.1,0.7,0.82,0:19:56,{'message': 'outside_geofence'}
0,92,39,-368,0.1,0.7,0.82,0:20:08,{'message': 'outside_geofence'}
1,93,29,-520,0.1,0.7,0.82,0:20:16,{'message': 'outside_geofence'}
0,94,38,-228,0.1,0.7,0.82,0:20:28,{'message': 'outside_geofence'}
1,95,60,-319,0.1,0.7,0.82,0:20:46,{'message': 'outside_geofence'}
0,96,8,-377,0.1,0.7,0.82,0:20:49,{'message': 'outside_geofence'}
1,97,24,-422,0.1,0.7,0.82,0:20:57,{'message': 'outside_geofence'}
0,98,33,-323,0.1,0.7,0.82,0:21:06,{'message': 'outside_geofence'}
1,99,21,-344,0.1,0.7,0.82,0:21:13,{'message': 'outside_geofence'}
0,100,25,-453,0.1,0.7,0.81,0:21:21,{'message': 'outside_geofence'}
1,101,22,-435,0.1,0.7,0.81,0:21:28,{'message': 'outside_geofence'}
0,102,18,-330,0.1,0.7,0.81,0:21:34,{'message': 'outside_geofence'}
1,103,25,-386,0.1,0.7,0.81,0:21:41,{'message': 'outside_geofence'}
0,104,21,-494,0.1,0.7,0.81,0:21:48,{'message': 'outside_geofence'}
1,105,55,-294,0.1,0.7,0.81,0:22:05,{'message': 'outside_geofence'}
0,106,19,-371,0.1,0.7,0.81,0:22:11,{'message': 'outside_geofence'}
1,107,12,-363,0.1,0.7,0.81,0:22:15,{'message': 'outside_geofence'}
0,108,66,-297,0.1,0.7,0.81,0:22:34,{'message': 'outside_geofence'}
1,109,24,-404,0.1,0.7,0.81,0:22:42,{'message': 'outside_geofence'}
0,110,8,-384,0.1,0.7,0.81,0:22:44,{'message': 'outside_geofence'}
1,111,94,-35,0.1,0.7,0.81,0:23:13,{'message': 'outside_geofence'}
0,112,14,-445,0.1,0.7,0.8,0:23:17,{'message': 'outside_geofence'}
1,113,79,-233,0.1,0.7,0.8,0:23:42,{'message': 'outside_geofence'}
0,114,35,-353,0.1,0.7,0.8,0:23:54,{'message': 'outside_geofence'}
1,115,12,-405,0.1,0.7,0.8,0:23:58,{'message': 'outside_geofence'}
0,116,8,-383,0.1,0.7,0.8,0:24:00,{'message': 'outside_geofence'}
1,117,28,-296,0.1,0.7,0.8,0:24:09,{'message': 'outside_geofence'}
0,118,22,-395,0.1,0.7,0.8,0:24:16,{'message': 'outside_geofence'}
