,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,43,-506,0.1,0.7,0.9,0:00:12,{'message': 'outside_geofence'}
0,2,27,-458,0.1,0.7,0.9,0:00:21,{'message': 'outside_geofence'}
1,3,52,-325,0.1,0.7,0.9,0:00:36,{'message': 'outside_geofence'}
0,4,31,-454,0.1,0.7,0.9,0:00:46,{'message': 'outside_geofence'}
1,5,29,-352,0.1,0.7,0.9,0:00:55,{'message': 'outside_geofence'}
0,6,15,-430,0.1,0.7,0.89,0:01:00,{'message': 'outside_geofence'}
1,7,43,-482,0.1,0.7,0.89,0:01:13,{'message': 'outside_geofence'}
0,8,69,-328,0.1,0.7,0.89,0:01:34,{'message': 'outside_geofence'}
1,9,147,956,0.1,0.7,0.89,0:02:18,{'message': 'reached_goal'}
0,10,52,-325,0.1,0.7,0.89,0:02:35,{'message': 'outside_geofence'}
1,11,64,-271,0.1,0.7,0.89,0:02:54,{'message': 'outside_geofence'}
0,12,379,840,0.1,0.7,0.89,0:04:48,{'message': 'outside_geofence'}
1,13,12,-397,0.1,0.7,0.89,0:04:52,{'message': 'outside_geofence'}
0,14,122,-205,0.1,0.7,0.89,0:05:29,{'message': 'outside_geofence'}
1,15,24,-337,0.1,0.7,0.89,0:05:36,{'message': 'outside_geofence'}
0,16,73,-244,0.1,0.7,0.89,0:05:58,{'message': 'outside_geofence'}
1,17,82,-291,0.1,0.7,0.88,0:06:23,{'message': 'outside_geofence'}
0,18,151,-166,0.1,0.7,0.88,0:07:08,{'message': 'outside_geofence'}
1,19,53,-266,0.1,0.7,0.88,0:07:24,{'message': 'outside_geofence'}
0,20,111,-274,0.1,0.7,0.88,0:07:57,{'message': 'outside_geofence'}
1,21,8,-403,0.1,0.7,0.88,0:08:00,{'message': 'outside_geofence'}
0,22,69,-338,0.1,0.7,0.88,0:08:21,{'message': 'outside_geofence'}
1,23,114,-313,0.1,0.7,0.88,0:08:57,{'message': 'outside_geofence'}
0,24,105,-268,0.1,0.7,0.88,0:09:28,{'message': 'outside_geofence'}
1,25,37,-388,0.1,0.7,0.88,0:09:40,{'message': 'outside_geofence'}
0,26,24,-337,0.1,0.7,0.88,0:09:47,{'message': 'outside_geofence'}
1,27,59,-260,0.1,0.7,0.88,0:10:04,{'message': 'outside_geofence'}
