,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,36,-456,0.1,0.7,0.9,0:00:10,{'message': 'outside_geofence'}
0,2,19,-452,0.1,0.7,0.9,0:00:17,{'message': 'outside_geofence'}
1,3,23,-469,0.1,0.7,0.9,0:00:24,{'message': 'outside_geofence'}
0,4,35,-504,0.1,0.7,0.9,0:00:34,{'message': 'outside_geofence'}
0,5,45,-507,0.1,0.7,0.9,0:00:48,{'message': 'outside_geofence'}
1,6,197,-429,0.1,0.7,0.9,0:01:47,{'message': 'outside_geofence'}
0,7,41,-478,0.1,0.7,0.9,0:02:00,{'message': 'outside_geofence'}
1,8,17,-479,0.1,0.7,0.9,0:02:05,{'message': 'outside_geofence'}
0,9,17,-474,0.1,0.7,0.89,0:02:10,{'message': 'outside_geofence'}
1,10,40,-401,0.1,0.7,0.89,0:02:23,{'message': 'outside_geofence'}
0,11,45,-464,0.1,0.7,0.89,0:02:37,{'message': 'outside_geofence'}
1,12,126,-197,0.1,0.7,0.89,0:03:15,{'message': 'outside_geofence'}
0,13,55,-422,0.1,0.7,0.89,0:03:32,{'message': 'outside_geofence'}
1,14,7,-497,0.1,0.7,0.89,0:03:35,{'message': 'outside_geofence'}
0,15,45,-417,0.1,0.7,0.89,0:03:49,{'message': 'outside_geofence'}
1,16,171,-348,0.1,0.7,0.89,0:04:41,{'message': 'outside_geofence'}
0,17,15,-498,0.1,0.7,0.89,0:04:46,{'message': 'outside_geofence'}
1,18,70,-474,0.1,0.7,0.89,0:05:07,{'message': 'outside_geofence'}
0,19,23,-484,0.1,0.7,0.89,0:05:14,{'message': 'outside_geofence'}
1,20,77,-385,0.1,0.7,0.88,0:05:38,{'message': 'outside_geofence'}
0,21,52,-479,0.1,0.7,0.88,0:05:54,{'message': 'outside_geofence'}
1,22,35,-455,0.1,0.7,0.88,0:06:05,{'message': 'outside_geofence'}
0,23,6,-505,0.1,0.7,0.88,0:06:07,{'message': 'outside_geofence'}
1,24,14,-498,0.1,0.7,0.88,0:06:11,{'message': 'outside_geofence'}
0,25,67,-411,0.1,0.7,0.88,0:06:32,{'message': 'outside_geofence'}
1,26,11,-487,0.1,0.7,0.88,0:06:35,{'message': 'outside_geofence'}
0,27,7,-513,0.1,0.7,0.88,0:06:38,{'message': 'outside_geofence'}
1,28,28,-459,0.1,0.7,0.88,0:06:46,{'message': 'outside_geofence'}
0,29,124,-143,0.1,0.7,0.88,0:07:24,{'message': 'outside_geofence'}
1,30,102,-229,0.1,0.7,0.88,0:07:55,{'message': 'outside_geofence'}
0,31,52,-564,0.1,0.7,0.88,0:08:11,{'message': 'outside_geofence'}
1,32,86,-359,0.1,0.7,0.87,0:08:37,{'message': 'outside_geofence'}
0,33,16,-467,0.1,0.7,0.87,0:08:42,{'message': 'outside_geofence'}
1,34,23,-437,0.1,0.7,0.87,0:08:49,{'message': 'outside_geofence'}
0,35,54,-360,0.1,0.7,0.87,0:09:06,{'message': 'outside_geofence'}
1,36,42,-442,0.1,0.7,0.87,0:09:19,{'message': 'outside_geofence'}
0,37,15,-516,0.1,0.7,0.87,0:09:23,{'message': 'outside_geofence'}
1,38,9,-504,0.1,0.7,0.87,0:09:26,{'message': 'outside_geofence'}
0,39,50,-364,0.1,0.7,0.87,0:09:42,{'message': 'outside_geofence'}
1,40,21,-486,0.1,0.7,0.87,0:09:49,{'message': 'outside_geofence'}
0,41,17,-468,0.1,0.7,0.87,0:09:54,{'message': 'outside_geofence'}
1,42,81,-248,0.1,0.7,0.87,0:10:19,{'message': 'outside_geofence'}
0,43,84,658,0.1,0.7,0.86,0:10:45,{'message': 'reached_goal'}
1,44,64,-426,0.1,0.7,0.86,0:11:04,{'message': 'outside_geofence'}
0,45,22,-444,0.1,0.7,0.86,0:11:11,{'message': 'outside_geofence'}
1,46,54,-429,0.1,0.7,0.86,0:11:28,{'message': 'outside_geofence'}
0,47,16,-460,0.1,0.7,0.86,0:11:33,{'message': 'outside_geofence'}
1,48,5,-507,0.1,0.7,0.86,0:11:35,{'message': 'outside_geofence'}
0,49,18,-460,0.1,0.7,0.86,0:11:40,{'message': 'outside_geofence'}
1,50,15,-483,0.1,0.7,0.86,0:11:45,{'message': 'outside_geofence'}
0,51,20,-466,0.1,0.7,0.86,0:11:52,{'message': 'outside_geofence'}
1,52,14,-503,0.1,0.7,0.86,0:11:56,{'message': 'outside_geofence'}
0,53,9,-509,0.1,0.7,0.86,0:11:59,{'message': 'outside_geofence'}
1,54,50,-455,0.1,0.7,0.86,0:12:15,{'message': 'outside_geofence'}
0,55,99,-317,0.1,0.7,0.85,0:12:45,{'message': 'outside_geofence'}
1,56,30,-425,0.1,0.7,0.85,0:12:54,{'message': 'outside_geofence'}
0,57,105,-296,0.1,0.7,0.85,0:13:27,{'message': 'outside_geofence'}
1,58,19,-531,0.1,0.7,0.85,0:13:33,{'message': 'outside_geofence'}
0,59,13,-494,0.1,0.7,0.85,0:13:37,{'message': 'outside_geofence'}
1,60,44,-477,0.1,0.7,0.85,0:13:50,{'message': 'outside_geofence'}
0,61,6,-510,0.1,0.7,0.85,0:13:52,{'message': 'outside_geofence'}
