,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,16,-1080,0.1,0.7,0.9,0:00:44,{'message': 'outside_geofence'}
0,2,158,-2151,0.1,0.7,0.9,0:01:29,{'message': 'outside_geofence'}
0,3,12,-1046,0.1,0.7,0.9,0:01:33,{'message': 'outside_geofence'}
1,4,21,-1036,0.1,0.7,0.9,0:01:39,{'message': 'outside_geofence'}
0,5,108,-1692,0.1,0.7,0.9,0:02:11,{'message': 'outside_geofence'}
1,6,21,-1136,0.1,0.7,0.9,0:02:18,{'message': 'outside_geofence'}
0,7,16,-1075,0.1,0.7,0.89,0:02:23,{'message': 'outside_geofence'}
1,8,21,-1191,0.1,0.7,0.89,0:02:29,{'message': 'outside_geofence'}
0,9,12,-1054,0.1,0.7,0.89,0:02:33,{'message': 'outside_geofence'}
1,10,45,-1260,0.1,0.7,0.89,0:02:47,{'message': 'outside_geofence'}
0,11,55,-1310,0.1,0.7,0.89,0:03:03,{'message': 'outside_geofence'}
1,12,63,-1215,0.1,0.7,0.89,0:03:22,{'message': 'outside_geofence'}
0,13,42,-1153,0.1,0.7,0.89,0:03:35,{'message': 'outside_geofence'}
1,14,186,-2502,0.1,0.7,0.89,0:04:30,{'message': 'outside_geofence'}
0,15,12,-1011,0.1,0.7,0.89,0:04:34,{'message': 'outside_geofence'}
1,16,170,-2246,0.1,0.7,0.89,0:05:24,{'message': 'outside_geofence'}
0,17,39,-1270,0.1,0.7,0.89,0:05:35,{'message': 'outside_geofence'}
1,18,8,-1049,0.1,0.7,0.88,0:05:38,{'message': 'outside_geofence'}
0,19,65,-1398,0.1,0.7,0.88,0:05:57,{'message': 'outside_geofence'}
1,20,27,-1184,0.1,0.7,0.88,0:06:05,{'message': 'outside_geofence'}
0,21,34,-1148,0.1,0.7,0.88,0:06:15,{'message': 'outside_geofence'}
1,22,26,-1128,0.1,0.7,0.88,0:06:23,{'message': 'outside_geofence'}
0,23,21,-1081,0.1,0.7,0.88,0:06:30,{'message': 'outside_geofence'}
1,24,6,-1025,0.1,0.7,0.88,0:06:32,{'message': 'outside_geofence'}
0,25,45,-1299,0.1,0.7,0.88,0:06:45,{'message': 'outside_geofence'}
1,26,38,-1114,0.1,0.7,0.88,0:06:57,{'message': 'outside_geofence'}
0,27,17,-1035,0.1,0.7,0.88,0:07:02,{'message': 'outside_geofence'}
1,28,74,-1340,0.1,0.7,0.88,0:07:23,{'message': 'outside_geofence'}
0,29,167,-2309,0.1,0.7,0.88,0:08:13,{'message': 'outside_geofence'}
1,30,35,-1125,0.1,0.7,0.87,0:08:23,{'message': 'outside_geofence'}
0,31,78,-1451,0.1,0.7,0.87,0:08:47,{'message': 'outside_geofence'}
1,32,81,-1453,0.1,0.7,0.87,0:09:11,{'message': 'outside_geofence'}
0,33,40,-1212,0.1,0.7,0.87,0:09:23,{'message': 'outside_geofence'}
1,34,33,-1175,0.1,0.7,0.87,0:09:33,{'message': 'outside_geofence'}
0,35,37,-1280,0.1,0.7,0.87,0:09:44,{'message': 'outside_geofence'}
1,36,93,-1514,0.1,0.7,0.87,0:10:12,{'message': 'outside_geofence'}
0,37,49,-1089,0.1,0.7,0.87,0:10:27,{'message': 'outside_geofence'}
1,38,293,-3041,0.1,0.7,0.87,0:11:53,{'message': 'outside_geofence'}
0,39,14,-1043,0.1,0.7,0.87,0:11:57,{'message': 'outside_geofence'}
1,40,9,-1075,0.1,0.7,0.87,0:12:00,{'message': 'outside_geofence'}
0,41,30,-1186,0.1,0.7,0.86,0:12:10,{'message': 'outside_geofence'}
1,42,73,-1363,0.1,0.7,0.86,0:12:32,{'message': 'outside_geofence'}
0,43,55,-1190,0.1,0.7,0.86,0:12:48,{'message': 'outside_geofence'}
1,44,58,-1523,0.1,0.7,0.86,0:13:05,{'message': 'outside_geofence'}
0,45,4,-1015,0.1,0.7,0.86,0:13:07,{'message': 'outside_geofence'}
1,46,86,-1344,0.1,0.7,0.86,0:13:33,{'message': 'outside_geofence'}
0,47,38,-1308,0.1,0.7,0.86,0:13:44,{'message': 'outside_geofence'}
1,48,241,-2726,0.1,0.7,0.86,0:14:55,{'message': 'outside_geofence'}
0,49,31,-1205,0.1,0.7,0.86,0:15:05,{'message': 'outside_geofence'}
1,50,136,-2112,0.1,0.7,0.86,0:15:45,{'message': 'outside_geofence'}
0,51,99,-1650,0.1,0.7,0.86,0:16:14,{'message': 'outside_geofence'}
1,52,17,-1025,0.1,0.7,0.86,0:16:20,{'message': 'outside_geofence'}
0,53,54,-1272,0.1,0.7,0.85,0:16:36,{'message': 'outside_geofence'}
1,54,35,-1270,0.1,0.7,0.85,0:16:47,{'message': 'outside_geofence'}
0,55,30,-1139,0.1,0.7,0.85,0:16:56,{'message': 'outside_geofence'}
1,56,42,-1045,0.1,0.7,0.85,0:17:08,{'message': 'outside_geofence'}
0,57,21,-1097,0.1,0.7,0.85,0:17:15,{'message': 'outside_geofence'}
1,58,30,-1281,0.1,0.7,0.85,0:17:24,{'message': 'outside_geofence'}
0,59,16,-1147,0.1,0.7,0.85,0:17:29,{'message': 'outside_geofence'}
1,60,10,-1045,0.1,0.7,0.85,0:17:32,{'message': 'outside_geofence'}
0,61,36,-1157,0.1,0.7,0.85,0:17:43,{'message': 'outside_geofence'}
1,62,10,-1100,0.1,0.7,0.85,0:17:47,{'message': 'outside_geofence'}
0,63,48,-1337,0.1,0.7,0.85,0:18:01,{'message': 'outside_geofence'}
1,64,75,-1418,0.1,0.7,0.85,0:18:23,{'message': 'outside_geofence'}
0,65,66,-1489,0.1,0.7,0.84,0:18:43,{'message': 'outside_geofence'}
1,66,48,-1382,0.1,0.7,0.84,0:18:57,{'message': 'outside_geofence'}
0,67,9,-1054,0.1,0.7,0.84,0:19:00,{'message': 'outside_geofence'}
1,68,18,-1113,0.1,0.7,0.84,0:19:06,{'message': 'outside_geofence'}
0,69,77,-1582,0.1,0.7,0.84,0:19:29,{'message': 'outside_geofence'}
1,70,37,-1152,0.1,0.7,0.84,0:19:40,{'message': 'outside_geofence'}
0,71,35,-1091,0.1,0.7,0.84,0:19:51,{'message': 'outside_geofence'}
1,72,30,-1162,0.1,0.7,0.84,0:20:00,{'message': 'outside_geofence'}
0,73,28,-1085,0.1,0.7,0.84,0:20:08,{'message': 'outside_geofence'}
