,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,97,386,0.1,0.7,0.9,0:00:30,{'message': 'reached_goal'}
0,2,84,351,0.1,0.7,0.9,0:00:55,{'message': 'reached_goal'}
1,3,20,435,0.1,0.7,0.9,0:01:01,{'message': 'reached_goal'}
0,4,25,430,0.1,0.7,0.9,0:01:09,{'message': 'reached_goal'}
1,5,20,435,0.1,0.7,0.9,0:01:16,{'message': 'reached_goal'}
0,6,34,427,0.1,0.7,0.89,0:01:27,{'message': 'reached_goal'}
1,7,27,428,0.1,0.7,0.89,0:01:35,{'message': 'reached_goal'}
0,8,25,400,0.1,0.7,0.89,0:01:43,{'message': 'reached_goal'}
1,9,32,415,0.1,0.7,0.89,0:01:53,{'message': 'reached_goal'}
0,10,28,433,0.1,0.7,0.89,0:02:02,{'message': 'reached_goal'}
1,11,33,382,0.1,0.7,0.89,0:02:12,{'message': 'reached_goal'}
0,12,19,436,0.1,0.7,0.89,0:02:18,{'message': 'reached_goal'}
1,13,17,438,0.1,0.7,0.89,0:02:24,{'message': 'reached_goal'}
0,14,24,431,0.1,0.7,0.89,0:02:31,{'message': 'reached_goal'}
1,15,21,440,0.1,0.7,0.89,0:02:38,{'message': 'reached_goal'}
0,16,30,431,0.1,0.7,0.89,0:02:47,{'message': 'reached_goal'}
1,17,44,397,0.1,0.7,0.88,0:03:01,{'message': 'reached_goal'}
0,18,44,397,0.1,0.7,0.88,0:03:15,{'message': 'reached_goal'}
1,19,26,435,0.1,0.7,0.88,0:03:23,{'message': 'reached_goal'}
0,20,45,406,0.1,0.7,0.88,0:03:37,{'message': 'reached_goal'}
1,21,29,426,0.1,0.7,0.88,0:03:47,{'message': 'reached_goal'}
0,22,25,442,0.1,0.7,0.88,0:03:55,{'message': 'reached_goal'}
1,23,27,434,0.1,0.7,0.88,0:04:03,{'message': 'reached_goal'}
0,24,22,439,0.1,0.7,0.88,0:04:10,{'message': 'reached_goal'}
1,25,59,396,0.1,0.7,0.88,0:04:28,{'message': 'reached_goal'}
0,26,64,439,0.1,0.7,0.88,0:04:48,{'message': 'reached_goal'}
1,27,31,436,0.1,0.7,0.88,0:04:58,{'message': 'reached_goal'}
0,28,94,403,0.1,0.7,0.88,0:05:27,{'message': 'reached_goal'}
1,29,31,420,0.1,0.7,0.87,0:05:36,{'message': 'reached_goal'}
0,30,47,420,0.1,0.7,0.87,0:05:51,{'message': 'reached_goal'}
1,31,15,440,0.1,0.7,0.87,0:05:55,{'message': 'reached_goal'}
0,32,28,433,0.1,0.7,0.87,0:06:05,{'message': 'reached_goal'}
1,33,21,434,0.1,0.7,0.87,0:06:11,{'message': 'reached_goal'}
0,34,21,440,0.1,0.7,0.87,0:06:19,{'message': 'reached_goal'}
1,35,24,443,0.1,0.7,0.87,0:06:26,{'message': 'reached_goal'}
0,36,27,384,0.1,0.7,0.87,0:06:34,{'message': 'reached_goal'}
1,37,19,442,0.1,0.7,0.87,0:06:40,{'message': 'reached_goal'}
0,38,41,432,0.1,0.7,0.87,0:06:53,{'message': 'reached_goal'}
1,39,24,427,0.1,0.7,0.87,0:07:01,{'message': 'reached_goal'}
0,40,22,439,0.1,0.7,0.86,0:07:08,{'message': 'reached_goal'}
1,41,23,432,0.1,0.7,0.86,0:07:15,{'message': 'reached_goal'}
0,42,21,440,0.1,0.7,0.86,0:07:22,{'message': 'reached_goal'}
1,43,18,437,0.1,0.7,0.86,0:07:28,{'message': 'reached_goal'}
0,44,24,421,0.1,0.7,0.86,0:07:36,{'message': 'reached_goal'}
1,45,19,426,0.1,0.7,0.86,0:07:42,{'message': 'reached_goal'}
0,46,34,427,0.1,0.7,0.86,0:07:53,{'message': 'reached_goal'}
1,47,29,408,0.1,0.7,0.86,0:08:02,{'message': 'reached_goal'}
0,48,31,406,0.1,0.7,0.86,0:08:12,{'message': 'reached_goal'}
1,49,36,425,0.1,0.7,0.86,0:08:23,{'message': 'reached_goal'}
0,50,18,437,0.1,0.7,0.86,0:08:29,{'message': 'reached_goal'}
1,51,18,437,0.1,0.7,0.86,0:08:34,{'message': 'reached_goal'}
0,52,24,427,0.1,0.7,0.85,0:08:42,{'message': 'reached_goal'}
1,53,19,442,0.1,0.7,0.85,0:08:48,{'message': 'reached_goal'}
0,54,52,407,0.1,0.7,0.85,0:09:04,{'message': 'reached_goal'}
1,55,23,418,0.1,0.7,0.85,0:09:12,{'message': 'reached_goal'}
0,56,28,433,0.1,0.7,0.85,0:09:21,{'message': 'reached_goal'}
1,57,27,430,0.1,0.7,0.85,0:09:29,{'message': 'reached_goal'}
0,58,27,430,0.1,0.7,0.85,0:09:38,{'message': 'reached_goal'}
1,59,37,442,0.1,0.7,0.85,0:09:49,{'message': 'reached_goal'}
0,60,21,440,0.1,0.7,0.85,0:09:56,{'message': 'reached_goal'}
1,61,40,415,0.1,0.7,0.85,0:10:09,{'message': 'reached_goal'}
0,62,43,436,0.1,0.7,0.85,0:10:22,{'message': 'reached_goal'}
1,63,21,434,0.1,0.7,0.85,0:10:29,{'message': 'reached_goal'}
0,64,20,441,0.1,0.7,0.84,0:10:35,{'message': 'reached_goal'}
1,65,48,401,0.1,0.7,0.84,0:10:50,{'message': 'reached_goal'}
0,66,16,439,0.1,0.7,0.84,0:10:55,{'message': 'reached_goal'}
1,67,24,437,0.1,0.7,0.84,0:11:03,{'message': 'reached_goal'}
0,68,20,435,0.1,0.7,0.84,0:11:10,{'message': 'reached_goal'}
1,69,21,434,0.1,0.7,0.84,0:11:16,{'message': 'reached_goal'}
0,70,30,397,0.1,0.7,0.84,0:11:26,{'message': 'reached_goal'}
1,71,25,436,0.1,0.7,0.84,0:11:34,{'message': 'reached_goal'}
0,72,32,413,0.1,0.7,0.84,0:11:44,{'message': 'reached_goal'}
1,73,22,439,0.1,0.7,0.84,0:11:51,{'message': 'reached_goal'}
0,74,24,407,0.1,0.7,0.84,0:11:58,{'message': 'reached_goal'}
1,75,17,438,0.1,0.7,0.83,0:12:04,{'message': 'reached_goal'}
0,76,27,434,0.1,0.7,0.83,0:12:13,{'message': 'reached_goal'}
1,77,23,408,0.1,0.7,0.83,0:12:20,{'message': 'reached_goal'}
0,78,22,439,0.1,0.7,0.83,0:12:27,{'message': 'reached_goal'}
1,79,23,418,0.1,0.7,0.83,0:12:34,{'message': 'reached_goal'}
0,80,27,384,0.1,0.7,0.83,0:12:43,{'message': 'reached_goal'}
1,81,65,438,0.1,0.7,0.83,0:13:04,{'message': 'reached_goal'}
0,82,35,422,0.1,0.7,0.83,0:13:15,{'message': 'reached_goal'}
1,83,24,437,0.1,0.7,0.83,0:13:22,{'message': 'reached_goal'}
0,84,27,434,0.1,0.7,0.83,0:13:31,{'message': 'reached_goal'}
1,85,15,440,0.1,0.7,0.83,0:13:36,{'message': 'reached_goal'}
