,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,78,465,0.1,0.7,0.9,0:00:24,{'message': 'reached_goal'}
0,2,15,-415,0.1,0.7,0.9,0:00:29,{'message': 'outside_geofence'}
1,3,67,380,0.1,0.7,0.9,0:00:49,{'message': 'reached_goal'}
0,4,21,445,0.1,0.7,0.9,0:00:56,{'message': 'reached_goal'}
1,5,52,470,0.1,0.7,0.9,0:01:13,{'message': 'reached_goal'}
0,6,22,450,0.1,0.7,0.89,0:01:20,{'message': 'reached_goal'}
1,7,50,475,0.1,0.7,0.89,0:01:36,{'message': 'reached_goal'}
0,8,21,445,0.1,0.7,0.89,0:01:43,{'message': 'reached_goal'}
1,9,56,465,0.1,0.7,0.89,0:02:00,{'message': 'reached_goal'}
0,10,20,450,0.1,0.7,0.89,0:02:06,{'message': 'reached_goal'}
1,11,20,445,0.1,0.7,0.89,0:02:13,{'message': 'reached_goal'}
0,12,41,460,0.1,0.7,0.89,0:02:26,{'message': 'reached_goal'}
1,13,37,465,0.1,0.7,0.89,0:02:38,{'message': 'reached_goal'}
0,14,28,450,0.1,0.7,0.89,0:02:47,{'message': 'reached_goal'}
1,15,39,455,0.1,0.7,0.89,0:02:59,{'message': 'reached_goal'}
0,16,20,445,0.1,0.7,0.89,0:03:06,{'message': 'reached_goal'}
1,17,20,450,0.1,0.7,0.88,0:03:12,{'message': 'reached_goal'}
0,18,21,450,0.1,0.7,0.88,0:03:19,{'message': 'reached_goal'}
1,19,52,470,0.1,0.7,0.88,0:03:35,{'message': 'reached_goal'}
0,20,25,450,0.1,0.7,0.88,0:03:43,{'message': 'reached_goal'}
1,21,27,450,0.1,0.7,0.88,0:03:52,{'message': 'reached_goal'}
0,22,33,460,0.1,0.7,0.88,0:04:02,{'message': 'reached_goal'}
1,23,30,440,0.1,0.7,0.88,0:04:12,{'message': 'reached_goal'}
0,24,50,445,0.1,0.7,0.88,0:04:28,{'message': 'reached_goal'}
1,25,18,445,0.1,0.7,0.88,0:04:34,{'message': 'reached_goal'}
0,26,41,460,0.1,0.7,0.88,0:04:47,{'message': 'reached_goal'}
1,27,37,470,0.1,0.7,0.88,0:04:59,{'message': 'reached_goal'}
0,28,18,445,0.1,0.7,0.88,0:05:04,{'message': 'reached_goal'}
1,29,18,445,0.1,0.7,0.87,0:05:10,{'message': 'reached_goal'}
0,30,23,445,0.1,0.7,0.87,0:05:18,{'message': 'reached_goal'}
1,31,25,445,0.1,0.7,0.87,0:05:26,{'message': 'reached_goal'}
0,32,31,450,0.1,0.7,0.87,0:05:35,{'message': 'reached_goal'}
1,33,25,450,0.1,0.7,0.87,0:05:43,{'message': 'reached_goal'}
0,34,22,445,0.1,0.7,0.87,0:05:50,{'message': 'reached_goal'}
1,35,24,445,0.1,0.7,0.87,0:05:58,{'message': 'reached_goal'}
0,36,27,450,0.1,0.7,0.87,0:06:06,{'message': 'reached_goal'}
1,37,54,465,0.1,0.7,0.87,0:06:24,{'message': 'reached_goal'}
0,38,27,430,0.1,0.7,0.87,0:06:33,{'message': 'reached_goal'}
1,39,21,450,0.1,0.7,0.87,0:06:39,{'message': 'reached_goal'}
0,40,29,450,0.1,0.7,0.86,0:06:49,{'message': 'reached_goal'}
1,41,45,465,0.1,0.7,0.86,0:07:03,{'message': 'reached_goal'}
0,42,40,465,0.1,0.7,0.86,0:07:16,{'message': 'reached_goal'}
1,43,28,435,0.1,0.7,0.86,0:07:25,{'message': 'reached_goal'}
0,44,25,440,0.1,0.7,0.86,0:07:33,{'message': 'reached_goal'}
1,45,22,435,0.1,0.7,0.86,0:07:40,{'message': 'reached_goal'}
0,46,44,460,0.1,0.7,0.86,0:07:53,{'message': 'reached_goal'}
1,47,47,455,0.1,0.7,0.86,0:08:08,{'message': 'reached_goal'}
0,48,22,450,0.1,0.7,0.86,0:08:15,{'message': 'reached_goal'}
1,49,41,465,0.1,0.7,0.86,0:08:28,{'message': 'reached_goal'}
0,50,21,450,0.1,0.7,0.86,0:08:34,{'message': 'reached_goal'}
1,51,26,450,0.1,0.7,0.86,0:08:43,{'message': 'reached_goal'}
0,52,79,510,0.1,0.7,0.85,0:09:08,{'message': 'reached_goal'}
1,53,29,450,0.1,0.7,0.85,0:09:17,{'message': 'reached_goal'}
0,54,24,450,0.1,0.7,0.85,0:09:25,{'message': 'reached_goal'}
1,55,26,450,0.1,0.7,0.85,0:09:33,{'message': 'reached_goal'}
0,56,22,435,0.1,0.7,0.85,0:09:40,{'message': 'reached_goal'}
1,57,39,455,0.1,0.7,0.85,0:09:52,{'message': 'reached_goal'}
0,58,24,440,0.1,0.7,0.85,0:10:00,{'message': 'reached_goal'}
1,59,36,460,0.1,0.7,0.85,0:10:11,{'message': 'reached_goal'}
0,60,39,450,0.1,0.7,0.85,0:10:23,{'message': 'reached_goal'}
1,61,32,450,0.1,0.7,0.85,0:10:33,{'message': 'reached_goal'}
0,62,25,445,0.1,0.7,0.85,0:10:41,{'message': 'reached_goal'}
1,63,24,415,0.1,0.7,0.85,0:10:49,{'message': 'reached_goal'}
0,64,21,445,0.1,0.7,0.84,0:10:55,{'message': 'reached_goal'}
1,65,22,435,0.1,0.7,0.84,0:11:02,{'message': 'reached_goal'}
0,66,43,460,0.1,0.7,0.84,0:11:16,{'message': 'reached_goal'}
1,67,21,435,0.1,0.7,0.84,0:11:23,{'message': 'reached_goal'}
0,68,19,445,0.1,0.7,0.84,0:11:29,{'message': 'reached_goal'}
1,69,32,445,0.1,0.7,0.84,0:11:39,{'message': 'reached_goal'}
0,70,63,485,0.1,0.7,0.84,0:11:58,{'message': 'reached_goal'}
1,71,20,450,0.1,0.7,0.84,0:12:05,{'message': 'reached_goal'}
0,72,30,445,0.1,0.7,0.84,0:12:14,{'message': 'reached_goal'}
1,73,29,450,0.1,0.7,0.84,0:12:23,{'message': 'reached_goal'}
0,74,22,440,0.1,0.7,0.84,0:12:30,{'message': 'reached_goal'}
1,75,26,455,0.1,0.7,0.83,0:12:38,{'message': 'reached_goal'}
0,76,36,455,0.1,0.7,0.83,0:12:49,{'message': 'reached_goal'}
1,77,29,450,0.1,0.7,0.83,0:12:58,{'message': 'reached_goal'}
0,78,54,445,0.1,0.7,0.83,0:13:15,{'message': 'reached_goal'}
1,79,22,450,0.1,0.7,0.83,0:13:22,{'message': 'reached_goal'}
0,80,37,465,0.1,0.7,0.83,0:13:34,{'message': 'reached_goal'}
1,81,36,445,0.1,0.7,0.83,0:13:45,{'message': 'reached_goal'}
0,82,38,455,0.1,0.7,0.83,0:13:57,{'message': 'reached_goal'}
1,83,31,440,0.1,0.7,0.83,0:14:07,{'message': 'reached_goal'}
0,84,44,455,0.1,0.7,0.83,0:14:20,{'message': 'reached_goal'}
1,85,31,460,0.1,0.7,0.83,0:14:30,{'message': 'reached_goal'}
0,86,15,445,0.1,0.7,0.83,0:14:35,{'message': 'reached_goal'}
1,87,19,450,0.1,0.7,0.82,0:14:41,{'message': 'reached_goal'}
0,88,19,450,0.1,0.7,0.82,0:14:47,{'message': 'reached_goal'}
1,89,19,445,0.1,0.7,0.82,0:14:54,{'message': 'reached_goal'}
0,90,38,460,0.1,0.7,0.82,0:15:06,{'message': 'reached_goal'}
1,91,45,460,0.1,0.7,0.82,0:15:20,{'message': 'reached_goal'}
0,92,48,465,0.1,0.7,0.82,0:15:35,{'message': 'reached_goal'}
1,93,48,465,0.1,0.7,0.82,0:15:50,{'message': 'reached_goal'}
0,94,49,470,0.1,0.7,0.82,0:16:05,{'message': 'reached_goal'}
1,95,34,455,0.1,0.7,0.82,0:16:15,{'message': 'reached_goal'}
0,96,42,455,0.1,0.7,0.82,0:16:29,{'message': 'reached_goal'}
1,97,22,435,0.1,0.7,0.82,0:16:36,{'message': 'reached_goal'}
0,98,23,445,0.1,0.7,0.82,0:16:43,{'message': 'reached_goal'}
1,99,25,450,0.1,0.7,0.82,0:16:51,{'message': 'reached_goal'}
0,100,24,435,0.1,0.7,0.81,0:16:58,{'message': 'reached_goal'}
1,101,19,445,0.1,0.7,0.81,0:17:05,{'message': 'reached_goal'}
0,102,71,465,0.1,0.7,0.81,0:17:27,{'message': 'reached_goal'}
1,103,17,445,0.1,0.7,0.81,0:17:33,{'message': 'reached_goal'}
0,104,43,460,0.1,0.7,0.81,0:17:47,{'message': 'reached_goal'}
1,105,49,465,0.1,0.7,0.81,0:18:02,{'message': 'reached_goal'}
0,106,33,450,0.1,0.7,0.81,0:18:13,{'message': 'reached_goal'}
1,107,33,450,0.1,0.7,0.81,0:18:23,{'message': 'reached_goal'}
0,108,43,460,0.1,0.7,0.81,0:18:36,{'message': 'reached_goal'}
1,109,59,470,0.1,0.7,0.81,0:18:55,{'message': 'reached_goal'}
0,110,22,415,0.1,0.7,0.81,0:19:02,{'message': 'reached_goal'}
1,111,17,445,0.1,0.7,0.81,0:19:07,{'message': 'reached_goal'}
0,112,18,445,0.1,0.7,0.8,0:19:14,{'message': 'reached_goal'}
1,113,29,450,0.1,0.7,0.8,0:19:23,{'message': 'reached_goal'}
0,114,23,440,0.1,0.7,0.8,0:19:30,{'message': 'reached_goal'}
1,115,28,445,0.1,0.7,0.8,0:19:39,{'message': 'reached_goal'}
0,116,43,445,0.1,0.7,0.8,0:19:53,{'message': 'reached_goal'}
1,117,48,465,0.1,0.7,0.8,0:20:08,{'message': 'reached_goal'}
0,118,46,460,0.1,0.7,0.8,0:20:22,{'message': 'reached_goal'}
1,119,29,460,0.1,0.7,0.8,0:20:32,{'message': 'reached_goal'}
0,120,20,445,0.1,0.7,0.8,0:20:38,{'message': 'reached_goal'}
1,121,63,460,0.1,0.7,0.8,0:20:58,{'message': 'reached_goal'}
0,122,24,450,0.1,0.7,0.8,0:21:05,{'message': 'reached_goal'}
1,123,34,445,0.1,0.7,0.8,0:21:16,{'message': 'reached_goal'}
0,124,19,445,0.1,0.7,0.79,0:21:22,{'message': 'reached_goal'}
1,125,42,455,0.1,0.7,0.79,0:21:35,{'message': 'reached_goal'}
0,126,26,450,0.1,0.7,0.79,0:21:43,{'message': 'reached_goal'}
1,127,23,445,0.1,0.7,0.79,0:21:51,{'message': 'reached_goal'}
0,128,24,450,0.1,0.7,0.79,0:21:58,{'message': 'reached_goal'}
1,129,34,450,0.1,0.7,0.79,0:22:09,{'message': 'reached_goal'}
0,130,39,465,0.1,0.7,0.79,0:22:21,{'message': 'reached_goal'}
1,131,34,455,0.1,0.7,0.79,0:22:32,{'message': 'reached_goal'}
0,132,24,445,0.1,0.7,0.79,0:22:40,{'message': 'reached_goal'}
1,133,37,435,0.1,0.7,0.79,0:22:51,{'message': 'reached_goal'}
0,134,46,455,0.1,0.7,0.79,0:23:06,{'message': 'reached_goal'}
1,135,22,445,0.1,0.7,0.79,0:23:14,{'message': 'reached_goal'}
0,136,61,485,0.1,0.7,0.79,0:23:33,{'message': 'reached_goal'}
1,137,24,440,0.1,0.7,0.78,0:23:40,{'message': 'reached_goal'}
0,138,22,435,0.1,0.7,0.78,0:23:47,{'message': 'reached_goal'}
1,139,26,440,0.1,0.7,0.78,0:23:56,{'message': 'reached_goal'}
0,140,31,455,0.1,0.7,0.78,0:24:05,{'message': 'reached_goal'}
1,141,20,445,0.1,0.7,0.78,0:24:12,{'message': 'reached_goal'}
0,142,24,450,0.1,0.7,0.78,0:24:19,{'message': 'reached_goal'}
1,143,22,445,0.1,0.7,0.78,0:24:26,{'message': 'reached_goal'}
0,144,26,455,0.1,0.7,0.78,0:24:35,{'message': 'reached_goal'}
