,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,220,230,0.1,0.7,0.9,0:01:08,{'TimeLimit.truncated': True}
0,2,220,225,0.1,0.7,0.9,0:02:18,{'TimeLimit.truncated': True}
1,3,220,205,0.1,0.7,0.9,0:03:28,{'TimeLimit.truncated': True}
0,4,220,230,0.1,0.7,0.9,0:04:38,{'TimeLimit.truncated': True}
1,5,220,120,0.1,0.7,0.9,0:05:46,{'TimeLimit.truncated': True}
0,6,220,210,0.1,0.7,0.89,0:06:54,{'TimeLimit.truncated': True}
1,7,220,210,0.1,0.7,0.89,0:08:01,{'TimeLimit.truncated': True}
0,8,220,155,0.1,0.7,0.89,0:09:10,{'TimeLimit.truncated': True}
1,9,220,215,0.1,0.7,0.89,0:10:18,{'TimeLimit.truncated': True}
0,10,220,215,0.1,0.7,0.89,0:11:25,{'TimeLimit.truncated': True}
1,11,220,205,0.1,0.7,0.89,0:12:33,{'TimeLimit.truncated': True}
0,12,220,170,0.1,0.7,0.89,0:13:43,{'TimeLimit.truncated': True}
1,13,220,220,0.1,0.7,0.89,0:14:51,{'TimeLimit.truncated': True}
0,14,220,175,0.1,0.7,0.89,0:15:59,{'TimeLimit.truncated': True}
1,15,220,205,0.1,0.7,0.89,0:17:07,{'TimeLimit.truncated': True}
0,16,220,210,0.1,0.7,0.89,0:18:15,{'TimeLimit.truncated': True}
1,17,220,120,0.1,0.7,0.88,0:19:25,{'TimeLimit.truncated': True}
0,18,220,230,0.1,0.7,0.88,0:20:33,{'TimeLimit.truncated': True}
1,19,220,180,0.1,0.7,0.88,0:21:41,{'TimeLimit.truncated': True}
0,20,220,210,0.1,0.7,0.88,0:22:48,{'TimeLimit.truncated': True}
1,21,220,190,0.1,0.7,0.88,0:23:57,{'TimeLimit.truncated': True}
0,22,220,220,0.1,0.7,0.88,0:25:06,{'TimeLimit.truncated': True}
1,23,220,210,0.1,0.7,0.88,0:26:14,{'TimeLimit.truncated': True}
0,24,220,225,0.1,0.7,0.88,0:27:24,{'TimeLimit.truncated': True}
1,25,220,200,0.1,0.7,0.88,0:28:32,{'TimeLimit.truncated': True}
0,26,220,110,0.1,0.7,0.88,0:29:40,{'TimeLimit.truncated': True}
1,27,220,215,0.1,0.7,0.88,0:30:50,{'TimeLimit.truncated': True}
0,28,220,235,0.1,0.7,0.88,0:32:00,{'TimeLimit.truncated': True}
1,29,220,180,0.1,0.7,0.87,0:33:09,{'TimeLimit.truncated': True}
0,30,220,140,0.1,0.7,0.87,0:34:18,{'TimeLimit.truncated': True}
1,31,220,195,0.1,0.7,0.87,0:35:28,{'TimeLimit.truncated': True}
0,32,220,135,0.1,0.7,0.87,0:36:35,{'TimeLimit.truncated': True}
1,33,220,55,0.1,0.7,0.87,0:37:42,{'TimeLimit.truncated': True}
0,34,220,110,0.1,0.7,0.87,0:38:51,{'TimeLimit.truncated': True}
1,35,220,215,0.1,0.7,0.87,0:39:59,{'TimeLimit.truncated': True}
0,36,220,190,0.1,0.7,0.87,0:41:07,{'TimeLimit.truncated': True}
1,37,220,220,0.1,0.7,0.87,0:42:16,{'TimeLimit.truncated': True}
0,38,220,210,0.1,0.7,0.87,0:43:24,{'TimeLimit.truncated': True}
1,39,220,140,0.1,0.7,0.87,0:44:34,{'TimeLimit.truncated': True}
0,40,220,215,0.1,0.7,0.86,0:45:43,{'TimeLimit.truncated': True}
1,41,220,215,0.1,0.7,0.86,0:46:51,{'TimeLimit.truncated': True}
0,42,220,215,0.1,0.7,0.86,0:47:58,{'TimeLimit.truncated': True}
1,43,220,195,0.1,0.7,0.86,0:49:06,{'TimeLimit.truncated': True}
0,44,220,160,0.1,0.7,0.86,0:50:14,{'TimeLimit.truncated': True}
