,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,28,-673,0.1,0.7,0.9,0:00:09,{'message': 'outside_geofence'}
0,2,87,-568,0.1,0.7,0.9,0:00:36,{'message': 'outside_geofence'}
1,3,29,-567,0.1,0.7,0.9,0:00:45,{'message': 'outside_geofence'}
0,4,51,-680,0.1,0.7,0.9,0:01:01,{'message': 'outside_geofence'}
1,5,34,-617,0.1,0.7,0.9,0:01:12,{'message': 'outside_geofence'}
0,6,15,-503,0.1,0.7,0.89,0:01:17,{'message': 'outside_geofence'}
1,7,15,-528,0.1,0.7,0.89,0:01:22,{'message': 'outside_geofence'}
0,8,45,-610,0.1,0.7,0.89,0:01:36,{'message': 'outside_geofence'}
1,9,82,-721,0.1,0.7,0.89,0:02:01,{'message': 'outside_geofence'}
0,10,125,-815,0.1,0.7,0.89,0:02:40,{'message': 'outside_geofence'}
1,11,50,-673,0.1,0.7,0.89,0:02:55,{'message': 'outside_geofence'}
0,12,47,-635,0.1,0.7,0.89,0:03:10,{'message': 'outside_geofence'}
1,13,37,-671,0.1,0.7,0.89,0:03:22,{'message': 'outside_geofence'}
0,14,14,-559,0.1,0.7,0.89,0:03:26,{'message': 'outside_geofence'}
1,15,22,-532,0.1,0.7,0.89,0:03:33,{'message': 'outside_geofence'}
0,16,65,-704,0.1,0.7,0.89,0:03:54,{'message': 'outside_geofence'}
1,17,12,-600,0.1,0.7,0.88,0:03:58,{'message': 'outside_geofence'}
0,18,51,-549,0.1,0.7,0.88,0:04:14,{'message': 'outside_geofence'}
1,19,38,-592,0.1,0.7,0.88,0:04:26,{'message': 'outside_geofence'}
0,20,22,-523,0.1,0.7,0.88,0:04:33,{'message': 'outside_geofence'}
1,21,81,-721,0.1,0.7,0.88,0:04:59,{'message': 'outside_geofence'}
0,22,6,-514,0.1,0.7,0.88,0:05:01,{'message': 'outside_geofence'}
1,23,12,-552,0.1,0.7,0.88,0:05:04,{'message': 'outside_geofence'}
0,24,47,-693,0.1,0.7,0.88,0:05:19,{'message': 'outside_geofence'}
1,25,47,-555,0.1,0.7,0.88,0:05:34,{'message': 'outside_geofence'}
0,26,25,-554,0.1,0.7,0.88,0:05:42,{'message': 'outside_geofence'}
1,27,44,-635,0.1,0.7,0.88,0:05:55,{'message': 'outside_geofence'}
0,28,33,-621,0.1,0.7,0.88,0:06:06,{'message': 'outside_geofence'}
1,29,4,-515,0.1,0.7,0.87,0:06:07,{'message': 'outside_geofence'}
0,30,44,585,0.1,0.7,0.87,0:06:21,{'message': 'reached_goal'}
1,31,23,-565,0.1,0.7,0.87,0:06:29,{'message': 'outside_geofence'}
0,32,10,-533,0.1,0.7,0.87,0:06:32,{'message': 'outside_geofence'}
1,33,186,-1113,0.1,0.7,0.87,0:07:30,{'message': 'outside_geofence'}
0,34,26,-582,0.1,0.7,0.87,0:07:38,{'message': 'outside_geofence'}
1,35,9,-534,0.1,0.7,0.87,0:07:41,{'message': 'outside_geofence'}
0,36,57,-556,0.1,0.7,0.87,0:07:59,{'message': 'outside_geofence'}
1,37,53,-666,0.1,0.7,0.87,0:08:16,{'message': 'outside_geofence'}
0,38,83,-717,0.1,0.7,0.87,0:08:42,{'message': 'outside_geofence'}
1,39,22,-579,0.1,0.7,0.87,0:08:48,{'message': 'outside_geofence'}
0,40,13,-527,0.1,0.7,0.86,0:08:52,{'message': 'outside_geofence'}
1,41,8,-524,0.1,0.7,0.86,0:08:55,{'message': 'outside_geofence'}
0,42,31,-518,0.1,0.7,0.86,0:09:05,{'message': 'outside_geofence'}
1,43,23,-554,0.1,0.7,0.86,0:09:12,{'message': 'outside_geofence'}
0,44,53,-589,0.1,0.7,0.86,0:09:29,{'message': 'outside_geofence'}
1,45,9,-555,0.1,0.7,0.86,0:09:32,{'message': 'outside_geofence'}
0,46,83,-813,0.1,0.7,0.86,0:09:58,{'message': 'outside_geofence'}
1,47,12,-514,0.1,0.7,0.86,0:10:02,{'message': 'outside_geofence'}
0,48,8,-543,0.1,0.7,0.86,0:10:05,{'message': 'outside_geofence'}
1,49,38,-651,0.1,0.7,0.86,0:10:17,{'message': 'outside_geofence'}
0,50,5,-520,0.1,0.7,0.86,0:10:19,{'message': 'outside_geofence'}
1,51,143,-902,0.1,0.7,0.86,0:11:04,{'message': 'outside_geofence'}
0,52,36,-606,0.1,0.7,0.85,0:11:15,{'message': 'outside_geofence'}
1,53,19,-591,0.1,0.7,0.85,0:11:21,{'message': 'outside_geofence'}
0,54,33,-538,0.1,0.7,0.85,0:11:32,{'message': 'outside_geofence'}
1,55,66,-781,0.1,0.7,0.85,0:11:53,{'message': 'outside_geofence'}
0,56,29,-618,0.1,0.7,0.85,0:12:02,{'message': 'outside_geofence'}
1,57,11,-530,0.1,0.7,0.85,0:12:06,{'message': 'outside_geofence'}
0,58,16,-581,0.1,0.7,0.85,0:12:11,{'message': 'outside_geofence'}
1,59,62,-700,0.1,0.7,0.85,0:12:30,{'message': 'outside_geofence'}
0,60,23,-578,0.1,0.7,0.85,0:12:37,{'message': 'outside_geofence'}
1,61,16,-519,0.1,0.7,0.85,0:12:43,{'message': 'outside_geofence'}
0,62,11,-553,0.1,0.7,0.85,0:12:46,{'message': 'outside_geofence'}
1,63,21,-567,0.1,0.7,0.85,0:12:53,{'message': 'outside_geofence'}
0,64,175,-741,0.1,0.7,0.84,0:13:48,{'message': 'outside_geofence'}
1,65,34,-630,0.1,0.7,0.84,0:13:59,{'message': 'outside_geofence'}
0,66,22,-588,0.1,0.7,0.84,0:14:06,{'message': 'outside_geofence'}
1,67,12,-533,0.1,0.7,0.84,0:14:10,{'message': 'outside_geofence'}
0,68,13,-524,0.1,0.7,0.84,0:14:15,{'message': 'outside_geofence'}
1,69,23,-542,0.1,0.7,0.84,0:14:22,{'message': 'outside_geofence'}
0,70,13,-541,0.1,0.7,0.84,0:14:26,{'message': 'outside_geofence'}
1,71,123,-811,0.1,0.7,0.84,0:15:05,{'message': 'outside_geofence'}
0,72,12,-567,0.1,0.7,0.84,0:15:09,{'message': 'outside_geofence'}
1,73,142,-630,0.1,0.7,0.84,0:15:53,{'message': 'outside_geofence'}
0,74,60,-520,0.1,0.7,0.84,0:16:12,{'message': 'outside_geofence'}
1,75,8,-535,0.1,0.7,0.83,0:16:15,{'message': 'outside_geofence'}
0,76,120,-757,0.1,0.7,0.83,0:16:53,{'message': 'outside_geofence'}
1,77,10,-523,0.1,0.7,0.83,0:16:56,{'message': 'outside_geofence'}
0,78,124,-776,0.1,0.7,0.83,0:17:34,{'message': 'outside_geofence'}
1,79,144,-690,0.1,0.7,0.83,0:18:20,{'message': 'outside_geofence'}
0,80,8,-560,0.1,0.7,0.83,0:18:23,{'message': 'outside_geofence'}
1,81,77,-779,0.1,0.7,0.83,0:18:47,{'message': 'outside_geofence'}
0,82,80,-622,0.1,0.7,0.83,0:19:12,{'message': 'outside_geofence'}
1,83,57,-518,0.1,0.7,0.83,0:19:29,{'message': 'outside_geofence'}
0,84,21,-638,0.1,0.7,0.83,0:19:36,{'message': 'outside_geofence'}
1,85,100,-727,0.1,0.7,0.83,0:20:08,{'message': 'outside_geofence'}
0,86,41,-639,0.1,0.7,0.83,0:20:21,{'message': 'outside_geofence'}
1,87,85,-687,0.1,0.7,0.82,0:20:48,{'message': 'outside_geofence'}
0,88,20,-609,0.1,0.7,0.82,0:20:54,{'message': 'outside_geofence'}
1,89,20,-556,0.1,0.7,0.82,0:21:01,{'message': 'outside_geofence'}
0,90,22,-554,0.1,0.7,0.82,0:21:08,{'message': 'outside_geofence'}
1,91,4,-515,0.1,0.7,0.82,0:21:09,{'message': 'outside_geofence'}
0,92,73,-654,0.1,0.7,0.82,0:21:33,{'message': 'outside_geofence'}
1,93,40,-557,0.1,0.7,0.82,0:21:45,{'message': 'outside_geofence'}
0,94,86,-618,0.1,0.7,0.82,0:22:12,{'message': 'outside_geofence'}
1,95,56,-595,0.1,0.7,0.82,0:22:30,{'message': 'outside_geofence'}
0,96,4,-515,0.1,0.7,0.82,0:22:32,{'message': 'outside_geofence'}
1,97,5,-535,0.1,0.7,0.82,0:22:34,{'message': 'outside_geofence'}
0,98,122,-618,0.1,0.7,0.82,0:23:13,{'message': 'outside_geofence'}
1,99,20,-574,0.1,0.7,0.82,0:23:19,{'message': 'outside_geofence'}
0,100,22,-565,0.1,0.7,0.81,0:23:26,{'message': 'outside_geofence'}
1,101,32,-609,0.1,0.7,0.81,0:23:36,{'message': 'outside_geofence'}
0,102,12,-547,0.1,0.7,0.81,0:23:40,{'message': 'outside_geofence'}
