,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,25,-445,0.1,0.7,0.9,0:00:07,{'message': 'outside_geofence'}
0,2,20,-472,0.1,0.7,0.9,0:00:13,{'message': 'outside_geofence'}
1,3,50,-534,0.1,0.7,0.9,0:00:28,{'message': 'outside_geofence'}
0,4,44,-552,0.1,0.7,0.9,0:00:42,{'message': 'outside_geofence'}
1,5,28,-464,0.1,0.7,0.9,0:00:51,{'message': 'outside_geofence'}
0,6,89,-459,0.1,0.7,0.89,0:01:18,{'message': 'outside_geofence'}
1,7,161,-597,0.1,0.7,0.89,0:02:06,{'message': 'outside_geofence'}
0,8,50,-421,0.1,0.7,0.89,0:02:21,{'message': 'outside_geofence'}
1,9,12,-434,0.1,0.7,0.89,0:02:25,{'message': 'outside_geofence'}
0,10,55,-428,0.1,0.7,0.89,0:02:41,{'message': 'outside_geofence'}
1,11,328,-772,0.1,0.7,0.89,0:04:18,{'message': 'outside_geofence'}
0,12,41,-563,0.1,0.7,0.89,0:04:31,{'message': 'outside_geofence'}
1,13,98,-570,0.1,0.7,0.89,0:05:01,{'message': 'outside_geofence'}
0,14,49,-543,0.1,0.7,0.89,0:05:15,{'message': 'outside_geofence'}
1,15,39,-498,0.1,0.7,0.89,0:05:27,{'message': 'outside_geofence'}
0,16,21,-464,0.1,0.7,0.89,0:05:34,{'message': 'outside_geofence'}
1,17,42,-489,0.1,0.7,0.88,0:05:47,{'message': 'outside_geofence'}
0,18,10,-449,0.1,0.7,0.88,0:05:50,{'message': 'outside_geofence'}
1,19,23,-494,0.1,0.7,0.88,0:05:57,{'message': 'outside_geofence'}
0,20,50,-455,0.1,0.7,0.88,0:06:12,{'message': 'outside_geofence'}
1,21,70,-499,0.1,0.7,0.88,0:06:33,{'message': 'outside_geofence'}
0,22,71,-601,0.1,0.7,0.88,0:06:54,{'message': 'outside_geofence'}
1,23,22,-448,0.1,0.7,0.88,0:07:01,{'message': 'outside_geofence'}
0,24,36,-485,0.1,0.7,0.88,0:07:13,{'message': 'outside_geofence'}
1,25,60,-544,0.1,0.7,0.88,0:07:31,{'message': 'outside_geofence'}
0,26,153,-814,0.1,0.7,0.88,0:08:17,{'message': 'outside_geofence'}
1,27,8,-432,0.1,0.7,0.88,0:08:19,{'message': 'outside_geofence'}
0,28,17,-464,0.1,0.7,0.88,0:08:25,{'message': 'outside_geofence'}
1,29,13,-437,0.1,0.7,0.87,0:08:29,{'message': 'outside_geofence'}
0,30,93,-606,0.1,0.7,0.87,0:08:57,{'message': 'outside_geofence'}
1,31,42,-526,0.1,0.7,0.87,0:09:09,{'message': 'outside_geofence'}
0,32,21,-459,0.1,0.7,0.87,0:09:15,{'message': 'outside_geofence'}
1,33,40,-479,0.1,0.7,0.87,0:09:27,{'message': 'outside_geofence'}
0,34,25,-497,0.1,0.7,0.87,0:09:35,{'message': 'outside_geofence'}
1,35,23,-434,0.1,0.7,0.87,0:09:42,{'message': 'outside_geofence'}
0,36,44,-540,0.1,0.7,0.87,0:09:55,{'message': 'outside_geofence'}
1,37,23,-444,0.1,0.7,0.87,0:10:02,{'message': 'outside_geofence'}
0,38,14,-443,0.1,0.7,0.87,0:10:06,{'message': 'outside_geofence'}
1,39,26,-453,0.1,0.7,0.87,0:10:14,{'message': 'outside_geofence'}
0,40,129,-529,0.1,0.7,0.86,0:10:52,{'message': 'outside_geofence'}
1,41,48,-496,0.1,0.7,0.86,0:11:07,{'message': 'outside_geofence'}
0,42,53,-476,0.1,0.7,0.86,0:11:24,{'message': 'outside_geofence'}
1,43,71,-504,0.1,0.7,0.86,0:11:45,{'message': 'outside_geofence'}
0,44,85,370,0.1,0.7,0.86,0:12:09,{'message': 'reached_goal'}
1,45,26,-477,0.1,0.7,0.86,0:12:17,{'message': 'outside_geofence'}
0,46,22,-419,0.1,0.7,0.86,0:12:24,{'message': 'outside_geofence'}
1,47,167,-699,0.1,0.7,0.86,0:13:14,{'message': 'outside_geofence'}
0,48,34,-513,0.1,0.7,0.86,0:13:25,{'message': 'outside_geofence'}
1,49,16,-468,0.1,0.7,0.86,0:13:29,{'message': 'outside_geofence'}
0,50,13,-425,0.1,0.7,0.86,0:13:34,{'message': 'outside_geofence'}
1,51,54,-465,0.1,0.7,0.86,0:13:50,{'message': 'outside_geofence'}
0,52,12,-430,0.1,0.7,0.85,0:13:54,{'message': 'outside_geofence'}
1,53,81,-584,0.1,0.7,0.85,0:14:19,{'message': 'outside_geofence'}
0,54,19,-406,0.1,0.7,0.85,0:14:25,{'message': 'outside_geofence'}
1,55,15,-484,0.1,0.7,0.85,0:14:30,{'message': 'outside_geofence'}
0,56,77,-544,0.1,0.7,0.85,0:14:54,{'message': 'outside_geofence'}
