,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,27,-1142,0.1,0.7,0.9,0:00:08,{'message': 'outside_geofence'}
0,2,62,-1480,0.1,0.7,0.9,0:00:26,{'message': 'outside_geofence'}
1,3,27,-1142,0.1,0.7,0.9,0:00:34,{'message': 'outside_geofence'}
0,4,29,-1171,0.1,0.7,0.9,0:00:43,{'message': 'outside_geofence'}
1,5,13,-1082,0.1,0.7,0.9,0:00:47,{'message': 'outside_geofence'}
0,6,114,-1667,0.1,0.7,0.89,0:01:19,{'message': 'outside_geofence'}
1,7,119,-1475,0.1,0.7,0.89,0:01:54,{'message': 'outside_geofence'}
0,8,83,-1608,0.1,0.7,0.89,0:02:19,{'message': 'outside_geofence'}
1,9,21,-1132,0.1,0.7,0.89,0:02:26,{'message': 'outside_geofence'}
0,10,145,-1586,0.1,0.7,0.89,0:03:09,{'message': 'outside_geofence'}
1,11,188,-1966,0.1,0.7,0.89,0:04:04,{'message': 'outside_geofence'}
0,12,60,-1294,0.1,0.7,0.89,0:04:23,{'message': 'outside_geofence'}
1,13,51,-1103,0.1,0.7,0.89,0:04:38,{'message': 'outside_geofence'}
0,14,44,-1345,0.1,0.7,0.89,0:04:51,{'message': 'outside_geofence'}
1,15,50,-1130,0.1,0.7,0.89,0:05:06,{'message': 'outside_geofence'}
0,16,39,-1349,0.1,0.7,0.89,0:05:18,{'message': 'outside_geofence'}
1,17,42,-1161,0.1,0.7,0.88,0:05:31,{'message': 'outside_geofence'}
0,18,34,-1124,0.1,0.7,0.88,0:05:41,{'message': 'outside_geofence'}
1,19,126,-1805,0.1,0.7,0.88,0:06:19,{'message': 'outside_geofence'}
0,20,91,-1399,0.1,0.7,0.88,0:06:46,{'message': 'outside_geofence'}
1,21,89,-1438,0.1,0.7,0.88,0:07:13,{'message': 'outside_geofence'}
0,22,43,-1315,0.1,0.7,0.88,0:07:26,{'message': 'outside_geofence'}
