,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,37,-422,0.1,0.7,0.9,0:00:11,{'message': 'outside_geofence'}
0,2,220,-116,0.1,0.7,0.9,0:01:19,{'TimeLimit.truncated': True}
1,3,220,-162,0.1,0.7,0.9,0:02:28,{'TimeLimit.truncated': True}
0,4,61,-446,0.1,0.7,0.9,0:02:47,{'message': 'outside_geofence'}
1,5,174,421,0.1,0.7,0.9,0:03:41,{'message': 'reached_goal'}
0,6,92,413,0.1,0.7,0.89,0:04:09,{'message': 'reached_goal'}
1,7,55,-446,0.1,0.7,0.89,0:04:26,{'message': 'outside_geofence'}
0,8,107,362,0.1,0.7,0.89,0:04:59,{'message': 'reached_goal'}
1,9,115,368,0.1,0.7,0.89,0:05:34,{'message': 'reached_goal'}
0,10,181,318,0.1,0.7,0.89,0:06:31,{'message': 'reached_goal'}
1,11,61,414,0.1,0.7,0.89,0:06:50,{'message': 'reached_goal'}
0,12,100,415,0.1,0.7,0.89,0:07:20,{'message': 'reached_goal'}
1,13,28,-415,0.1,0.7,0.89,0:07:29,{'message': 'outside_geofence'}
0,14,220,-116,0.1,0.7,0.89,0:08:37,{'TimeLimit.truncated': True}
1,15,110,395,0.1,0.7,0.89,0:09:11,{'message': 'reached_goal'}
0,16,151,386,0.1,0.7,0.89,0:09:58,{'message': 'reached_goal'}
1,17,177,354,0.1,0.7,0.88,0:10:52,{'message': 'reached_goal'}
0,18,100,385,0.1,0.7,0.88,0:11:23,{'message': 'reached_goal'}
1,19,182,383,0.1,0.7,0.88,0:12:19,{'message': 'reached_goal'}
0,20,63,402,0.1,0.7,0.88,0:12:39,{'message': 'reached_goal'}
1,21,87,402,0.1,0.7,0.88,0:13:06,{'message': 'reached_goal'}
0,22,132,319,0.1,0.7,0.88,0:13:47,{'message': 'reached_goal'}
1,23,134,383,0.1,0.7,0.88,0:14:28,{'message': 'reached_goal'}
0,24,139,386,0.1,0.7,0.88,0:15:11,{'message': 'reached_goal'}
1,25,46,421,0.1,0.7,0.88,0:15:26,{'message': 'reached_goal'}
0,26,124,383,0.1,0.7,0.88,0:16:04,{'message': 'reached_goal'}
1,27,12,-411,0.1,0.7,0.88,0:16:08,{'message': 'outside_geofence'}
0,28,33,422,0.1,0.7,0.88,0:16:19,{'message': 'reached_goal'}
1,29,57,400,0.1,0.7,0.87,0:16:37,{'message': 'reached_goal'}
0,30,134,357,0.1,0.7,0.87,0:17:18,{'message': 'reached_goal'}
1,31,160,397,0.1,0.7,0.87,0:18:09,{'message': 'reached_goal'}
0,32,91,362,0.1,0.7,0.87,0:18:37,{'message': 'reached_goal'}
1,33,36,-411,0.1,0.7,0.87,0:18:49,{'message': 'outside_geofence'}
0,34,220,-74,0.1,0.7,0.87,0:19:57,{'TimeLimit.truncated': True}
1,35,95,378,0.1,0.7,0.87,0:20:27,{'message': 'reached_goal'}
0,36,129,384,0.1,0.7,0.87,0:21:07,{'message': 'reached_goal'}
1,37,67,-440,0.1,0.7,0.87,0:21:29,{'message': 'outside_geofence'}
0,38,97,-456,0.1,0.7,0.87,0:21:59,{'message': 'outside_geofence'}
1,39,38,423,0.1,0.7,0.87,0:22:11,{'message': 'reached_goal'}
0,40,72,379,0.1,0.7,0.86,0:22:33,{'message': 'reached_goal'}
1,41,123,366,0.1,0.7,0.86,0:23:11,{'message': 'reached_goal'}
0,42,162,371,0.1,0.7,0.86,0:24:01,{'message': 'reached_goal'}
1,43,36,-429,0.1,0.7,0.86,0:24:12,{'message': 'outside_geofence'}
0,44,41,426,0.1,0.7,0.86,0:24:25,{'message': 'reached_goal'}
1,45,56,-425,0.1,0.7,0.86,0:24:42,{'message': 'outside_geofence'}
0,46,29,432,0.1,0.7,0.86,0:24:52,{'message': 'reached_goal'}
1,47,126,401,0.1,0.7,0.86,0:25:31,{'message': 'reached_goal'}
0,48,169,406,0.1,0.7,0.86,0:26:23,{'message': 'reached_goal'}
1,49,71,408,0.1,0.7,0.86,0:26:46,{'message': 'reached_goal'}
0,50,56,-431,0.1,0.7,0.86,0:27:04,{'message': 'outside_geofence'}
1,51,43,436,0.1,0.7,0.86,0:27:17,{'message': 'reached_goal'}
0,52,110,377,0.1,0.7,0.85,0:27:51,{'message': 'reached_goal'}
1,53,86,347,0.1,0.7,0.85,0:28:18,{'message': 'reached_goal'}
0,54,102,391,0.1,0.7,0.85,0:28:49,{'message': 'reached_goal'}
1,55,56,407,0.1,0.7,0.85,0:29:06,{'message': 'reached_goal'}
0,56,58,405,0.1,0.7,0.85,0:29:25,{'message': 'reached_goal'}
1,57,129,-462,0.1,0.7,0.85,0:30:05,{'message': 'outside_geofence'}
0,58,132,413,0.1,0.7,0.85,0:30:46,{'message': 'reached_goal'}
1,59,70,383,0.1,0.7,0.85,0:31:07,{'message': 'reached_goal'}
0,60,81,384,0.1,0.7,0.85,0:31:32,{'message': 'reached_goal'}
1,61,24,-417,0.1,0.7,0.85,0:31:40,{'message': 'outside_geofence'}
0,62,44,-423,0.1,0.7,0.85,0:31:53,{'message': 'outside_geofence'}
1,63,61,438,0.1,0.7,0.85,0:32:12,{'message': 'reached_goal'}
0,64,93,400,0.1,0.7,0.84,0:32:41,{'message': 'reached_goal'}
1,65,178,349,0.1,0.7,0.84,0:33:37,{'message': 'reached_goal'}
0,66,54,419,0.1,0.7,0.84,0:33:53,{'message': 'reached_goal'}
1,67,64,389,0.1,0.7,0.84,0:34:13,{'message': 'reached_goal'}
0,68,42,409,0.1,0.7,0.84,0:34:26,{'message': 'reached_goal'}
