,episode,steps,reward,alpha,gamma,epsilon,time,info
0,1,129,-490,0.1,0.7,0.9,0:00:40,{'message': 'outside_geofence'}
0,2,156,337,0.1,0.7,0.9,0:01:28,{'message': 'reached_goal'}
1,3,58,421,0.1,0.7,0.9,0:01:47,{'message': 'reached_goal'}
0,4,147,368,0.1,0.7,0.9,0:02:33,{'message': 'reached_goal'}
1,5,193,334,0.1,0.7,0.9,0:03:33,{'message': 'reached_goal'}
0,6,136,-549,0.1,0.7,0.89,0:04:16,{'message': 'outside_geofence'}
1,7,220,-64,0.1,0.7,0.89,0:05:25,{'TimeLimit.truncated': True}
0,8,205,-496,0.1,0.7,0.89,0:06:28,{'message': 'outside_geofence'}
1,9,106,-447,0.1,0.7,0.89,0:07:01,{'message': 'outside_geofence'}
0,10,210,285,0.1,0.7,0.89,0:08:07,{'message': 'reached_goal'}
1,11,124,315,0.1,0.7,0.89,0:08:46,{'message': 'reached_goal'}
0,12,101,362,0.1,0.7,0.89,0:09:18,{'message': 'reached_goal'}
1,13,125,404,0.1,0.7,0.89,0:09:57,{'message': 'reached_goal'}
0,14,57,412,0.1,0.7,0.89,0:10:15,{'message': 'reached_goal'}
1,15,38,-447,0.1,0.7,0.89,0:10:27,{'message': 'outside_geofence'}
0,16,73,362,0.1,0.7,0.89,0:10:50,{'message': 'reached_goal'}
1,17,103,410,0.1,0.7,0.88,0:11:22,{'message': 'reached_goal'}
0,18,87,426,0.1,0.7,0.88,0:11:49,{'message': 'reached_goal'}
1,19,83,394,0.1,0.7,0.88,0:12:14,{'message': 'reached_goal'}
0,20,70,433,0.1,0.7,0.88,0:12:36,{'message': 'reached_goal'}
1,21,39,-452,0.1,0.7,0.88,0:12:48,{'message': 'outside_geofence'}
0,22,51,408,0.1,0.7,0.88,0:13:05,{'message': 'reached_goal'}
1,23,76,427,0.1,0.7,0.88,0:13:28,{'message': 'reached_goal'}
0,24,125,362,0.1,0.7,0.88,0:14:08,{'message': 'reached_goal'}
1,25,137,358,0.1,0.7,0.88,0:14:52,{'message': 'reached_goal'}
0,26,75,402,0.1,0.7,0.88,0:15:15,{'message': 'reached_goal'}
1,27,142,373,0.1,0.7,0.88,0:16:00,{'message': 'reached_goal'}
0,28,15,-402,0.1,0.7,0.88,0:16:05,{'message': 'outside_geofence'}
1,29,77,404,0.1,0.7,0.87,0:16:28,{'message': 'reached_goal'}
0,30,73,410,0.1,0.7,0.87,0:16:51,{'message': 'reached_goal'}
1,31,77,422,0.1,0.7,0.87,0:17:14,{'message': 'reached_goal'}
0,32,18,-417,0.1,0.7,0.87,0:17:20,{'message': 'outside_geofence'}
1,33,138,405,0.1,0.7,0.87,0:18:02,{'message': 'reached_goal'}
0,34,65,414,0.1,0.7,0.87,0:18:23,{'message': 'reached_goal'}
1,35,99,380,0.1,0.7,0.87,0:18:54,{'message': 'reached_goal'}
0,36,120,385,0.1,0.7,0.87,0:19:31,{'message': 'reached_goal'}
1,37,197,322,0.1,0.7,0.87,0:20:33,{'message': 'reached_goal'}
0,38,87,396,0.1,0.7,0.87,0:21:00,{'message': 'reached_goal'}
1,39,49,420,0.1,0.7,0.87,0:21:15,{'message': 'reached_goal'}
0,40,19,-406,0.1,0.7,0.86,0:21:21,{'message': 'outside_geofence'}
1,41,129,428,0.1,0.7,0.86,0:22:01,{'message': 'reached_goal'}
0,42,142,371,0.1,0.7,0.86,0:22:46,{'message': 'reached_goal'}
1,43,74,351,0.1,0.7,0.86,0:23:08,{'message': 'reached_goal'}
0,44,92,377,0.1,0.7,0.86,0:23:37,{'message': 'reached_goal'}
1,45,65,394,0.1,0.7,0.86,0:23:57,{'message': 'reached_goal'}
0,46,48,413,0.1,0.7,0.86,0:24:11,{'message': 'reached_goal'}
1,47,220,-140,0.1,0.7,0.86,0:25:19,{'TimeLimit.truncated': True}
0,48,68,411,0.1,0.7,0.86,0:25:40,{'message': 'reached_goal'}
1,49,220,-10,0.1,0.7,0.86,0:26:47,{'TimeLimit.truncated': True}
0,50,106,359,0.1,0.7,0.86,0:27:20,{'message': 'reached_goal'}
1,51,48,379,0.1,0.7,0.86,0:27:35,{'message': 'reached_goal'}
0,52,17,-410,0.1,0.7,0.85,0:27:40,{'message': 'outside_geofence'}
1,53,75,390,0.1,0.7,0.85,0:28:04,{'message': 'reached_goal'}
0,54,205,328,0.1,0.7,0.85,0:29:07,{'message': 'reached_goal'}
1,55,144,343,0.1,0.7,0.85,0:29:52,{'message': 'reached_goal'}
0,56,62,417,0.1,0.7,0.85,0:30:11,{'message': 'reached_goal'}
1,57,78,395,0.1,0.7,0.85,0:30:35,{'message': 'reached_goal'}
0,58,88,413,0.1,0.7,0.85,0:31:02,{'message': 'reached_goal'}
1,59,57,416,0.1,0.7,0.85,0:31:20,{'message': 'reached_goal'}
0,60,70,429,0.1,0.7,0.85,0:31:42,{'message': 'reached_goal'}
1,61,184,311,0.1,0.7,0.85,0:32:40,{'message': 'reached_goal'}
0,62,68,387,0.1,0.7,0.85,0:33:01,{'message': 'reached_goal'}
1,63,95,402,0.1,0.7,0.85,0:33:30,{'message': 'reached_goal'}
0,64,33,434,0.1,0.7,0.84,0:33:41,{'message': 'reached_goal'}
1,65,53,382,0.1,0.7,0.84,0:33:57,{'message': 'reached_goal'}
0,66,115,382,0.1,0.7,0.84,0:34:32,{'message': 'reached_goal'}
1,67,132,397,0.1,0.7,0.84,0:35:13,{'message': 'reached_goal'}
0,68,128,407,0.1,0.7,0.84,0:35:52,{'message': 'reached_goal'}
1,69,62,387,0.1,0.7,0.84,0:36:11,{'message': 'reached_goal'}
0,70,72,413,0.1,0.7,0.84,0:36:34,{'message': 'reached_goal'}
1,71,133,358,0.1,0.7,0.84,0:37:14,{'message': 'reached_goal'}
0,72,114,383,0.1,0.7,0.84,0:37:49,{'message': 'reached_goal'}
1,73,69,400,0.1,0.7,0.84,0:38:11,{'message': 'reached_goal'}
0,74,52,423,0.1,0.7,0.84,0:38:27,{'message': 'reached_goal'}
1,75,220,-70,0.1,0.7,0.83,0:39:34,{'TimeLimit.truncated': True}
0,76,82,427,0.1,0.7,0.83,0:40:00,{'message': 'reached_goal'}
1,77,199,386,0.1,0.7,0.83,0:41:01,{'message': 'reached_goal'}
0,78,95,-420,0.1,0.7,0.83,0:41:30,{'message': 'outside_geofence'}
1,79,13,-406,0.1,0.7,0.83,0:41:34,{'message': 'outside_geofence'}
0,80,75,416,0.1,0.7,0.83,0:41:57,{'message': 'reached_goal'}
1,81,178,335,0.1,0.7,0.83,0:42:52,{'message': 'reached_goal'}
0,82,95,394,0.1,0.7,0.83,0:43:21,{'message': 'reached_goal'}
1,83,142,355,0.1,0.7,0.83,0:44:04,{'message': 'reached_goal'}
0,84,39,-456,0.1,0.7,0.83,0:44:17,{'message': 'outside_geofence'}
1,85,94,387,0.1,0.7,0.83,0:44:46,{'message': 'reached_goal'}
0,86,99,380,0.1,0.7,0.83,0:45:18,{'message': 'reached_goal'}
1,87,128,337,0.1,0.7,0.82,0:45:58,{'message': 'reached_goal'}
0,88,82,391,0.1,0.7,0.82,0:46:23,{'message': 'reached_goal'}
1,89,7,-406,0.1,0.7,0.82,0:46:26,{'message': 'outside_geofence'}
0,90,74,407,0.1,0.7,0.82,0:46:49,{'message': 'reached_goal'}
1,91,15,-414,0.1,0.7,0.82,0:46:54,{'message': 'outside_geofence'}
0,92,72,417,0.1,0.7,0.82,0:47:16,{'message': 'reached_goal'}
1,93,59,370,0.1,0.7,0.82,0:47:35,{'message': 'reached_goal'}
0,94,153,422,0.1,0.7,0.82,0:48:23,{'message': 'reached_goal'}
1,95,95,404,0.1,0.7,0.82,0:48:52,{'message': 'reached_goal'}
0,96,66,403,0.1,0.7,0.82,0:49:13,{'message': 'reached_goal'}
1,97,102,385,0.1,0.7,0.82,0:49:44,{'message': 'reached_goal'}
0,98,34,445,0.1,0.7,0.82,0:49:54,{'message': 'reached_goal'}
1,99,74,387,0.1,0.7,0.82,0:50:17,{'message': 'reached_goal'}
0,100,63,418,0.1,0.7,0.81,0:50:37,{'message': 'reached_goal'}
1,101,65,396,0.1,0.7,0.81,0:50:57,{'message': 'reached_goal'}
0,102,53,416,0.1,0.7,0.81,0:51:14,{'message': 'reached_goal'}
1,103,59,400,0.1,0.7,0.81,0:51:32,{'message': 'reached_goal'}
0,104,14,-407,0.1,0.7,0.81,0:51:37,{'message': 'outside_geofence'}
1,105,50,393,0.1,0.7,0.81,0:51:53,{'message': 'reached_goal'}
0,106,71,420,0.1,0.7,0.81,0:52:15,{'message': 'reached_goal'}
1,107,140,409,0.1,0.7,0.81,0:52:57,{'message': 'reached_goal'}
0,108,72,359,0.1,0.7,0.81,0:53:20,{'message': 'reached_goal'}
1,109,13,-406,0.1,0.7,0.81,0:53:24,{'message': 'outside_geofence'}
0,110,61,436,0.1,0.7,0.81,0:53:43,{'message': 'reached_goal'}
1,111,49,430,0.1,0.7,0.81,0:53:58,{'message': 'reached_goal'}
0,112,96,359,0.1,0.7,0.8,0:54:27,{'message': 'reached_goal'}
1,113,110,363,0.1,0.7,0.8,0:55:02,{'message': 'reached_goal'}
0,114,89,376,0.1,0.7,0.8,0:55:29,{'message': 'reached_goal'}
1,115,69,370,0.1,0.7,0.8,0:55:51,{'message': 'reached_goal'}
0,116,38,429,0.1,0.7,0.8,0:56:02,{'message': 'reached_goal'}
1,117,117,396,0.1,0.7,0.8,0:56:39,{'message': 'reached_goal'}
0,118,93,406,0.1,0.7,0.8,0:57:07,{'message': 'reached_goal'}
1,119,46,415,0.1,0.7,0.8,0:57:22,{'message': 'reached_goal'}
0,120,178,363,0.1,0.7,0.8,0:58:17,{'message': 'reached_goal'}
1,121,33,434,0.1,0.7,0.8,0:58:28,{'message': 'reached_goal'}
0,122,64,365,0.1,0.7,0.8,0:58:47,{'message': 'reached_goal'}
1,123,51,-446,0.1,0.7,0.8,0:59:03,{'message': 'outside_geofence'}
0,124,98,405,0.1,0.7,0.79,0:59:33,{'message': 'reached_goal'}
1,125,46,415,0.1,0.7,0.79,0:59:48,{'message': 'reached_goal'}
0,126,52,401,0.1,0.7,0.79,1:00:04,{'message': 'reached_goal'}
1,127,50,423,0.1,0.7,0.79,1:00:20,{'message': 'reached_goal'}
0,128,50,419,0.1,0.7,0.79,1:00:36,{'message': 'reached_goal'}
1,129,76,427,0.1,0.7,0.79,1:00:59,{'message': 'reached_goal'}
0,130,109,352,0.1,0.7,0.79,1:01:34,{'message': 'reached_goal'}
1,131,78,425,0.1,0.7,0.79,1:01:59,{'message': 'reached_goal'}
0,132,100,399,0.1,0.7,0.79,1:02:30,{'message': 'reached_goal'}
1,133,38,423,0.1,0.7,0.79,1:02:42,{'message': 'reached_goal'}
0,134,44,423,0.1,0.7,0.79,1:02:56,{'message': 'reached_goal'}
1,135,58,415,0.1,0.7,0.79,1:03:13,{'message': 'reached_goal'}
0,136,70,407,0.1,0.7,0.79,1:03:37,{'message': 'reached_goal'}
1,137,53,416,0.1,0.7,0.78,1:03:53,{'message': 'reached_goal'}
0,138,50,441,0.1,0.7,0.78,1:04:08,{'message': 'reached_goal'}
1,139,38,407,0.1,0.7,0.78,1:04:20,{'message': 'reached_goal'}
0,140,6,-405,0.1,0.7,0.78,1:04:23,{'message': 'outside_geofence'}
1,141,103,412,0.1,0.7,0.78,1:04:55,{'message': 'reached_goal'}
0,142,62,401,0.1,0.7,0.78,1:05:14,{'message': 'reached_goal'}
1,143,71,444,0.1,0.7,0.78,1:05:36,{'message': 'reached_goal'}
0,144,46,415,0.1,0.7,0.78,1:05:50,{'message': 'reached_goal'}
1,145,165,374,0.1,0.7,0.78,1:06:41,{'message': 'reached_goal'}
0,146,57,424,0.1,0.7,0.78,1:06:58,{'message': 'reached_goal'}
1,147,40,427,0.1,0.7,0.78,1:07:11,{'message': 'reached_goal'}
0,148,55,426,0.1,0.7,0.78,1:07:29,{'message': 'reached_goal'}
1,149,50,413,0.1,0.7,0.78,1:07:44,{'message': 'reached_goal'}
0,150,82,413,0.1,0.7,0.77,1:08:10,{'message': 'reached_goal'}
1,151,83,400,0.1,0.7,0.77,1:08:36,{'message': 'reached_goal'}
0,152,52,409,0.1,0.7,0.77,1:08:52,{'message': 'reached_goal'}
1,153,111,400,0.1,0.7,0.77,1:09:26,{'message': 'reached_goal'}
0,154,60,411,0.1,0.7,0.77,1:09:44,{'message': 'reached_goal'}
1,155,18,-415,0.1,0.7,0.77,1:09:50,{'message': 'outside_geofence'}
0,156,15,-408,0.1,0.7,0.77,1:09:55,{'message': 'outside_geofence'}
1,157,44,387,0.1,0.7,0.77,1:10:09,{'message': 'reached_goal'}
0,158,65,414,0.1,0.7,0.77,1:10:29,{'message': 'reached_goal'}
1,159,31,410,0.1,0.7,0.77,1:10:39,{'message': 'reached_goal'}
